Hour	MeanValue
01-Jan-2017 00:00:00	NaN
01-Jan-2017 01:00:00	2.1325
01-Jan-2017 02:00:00	2.1275
01-Jan-2017 03:00:00	2.13
01-Jan-2017 04:00:00	2.13
01-Jan-2017 05:00:00	2.125
01-Jan-2017 06:00:00	2.1275
01-Jan-2017 07:00:00	2.1275
01-Jan-2017 08:00:00	2.1275
01-Jan-2017 09:00:00	2.1225
01-Jan-2017 10:00:00	2.12
01-Jan-2017 11:00:00	2.1175
01-Jan-2017 12:00:00	2.115
01-Jan-2017 13:00:00	2.1175
01-Jan-2017 14:00:00	2.1225
01-Jan-2017 15:00:00	2.125
01-Jan-2017 16:00:00	2.12
01-Jan-2017 17:00:00	2.1175
01-Jan-2017 18:00:00	2.1175
01-Jan-2017 19:00:00	2.115
01-Jan-2017 20:00:00	2.12
01-Jan-2017 21:00:00	2.13
01-Jan-2017 22:00:00	2.1275
01-Jan-2017 23:00:00	2.13
02-Jan-2017 00:00:00	2.13
02-Jan-2017 01:00:00	2.1325
02-Jan-2017 02:00:00	2.13
02-Jan-2017 03:00:00	2.1325
02-Jan-2017 04:00:00	2.1375
02-Jan-2017 05:00:00	2.13
02-Jan-2017 06:00:00	2.1375
02-Jan-2017 07:00:00	2.1375
02-Jan-2017 08:00:00	2.1425
02-Jan-2017 09:00:00	2.135
02-Jan-2017 10:00:00	2.135
02-Jan-2017 11:00:00	2.13
02-Jan-2017 12:00:00	2.13
02-Jan-2017 13:00:00	2.13
02-Jan-2017 14:00:00	2.13
02-Jan-2017 15:00:00	2.125
02-Jan-2017 16:00:00	2.1325
02-Jan-2017 17:00:00	2.1325
02-Jan-2017 18:00:00	2.1325
02-Jan-2017 19:00:00	2.1375
02-Jan-2017 20:00:00	2.1375
02-Jan-2017 21:00:00	2.1425
02-Jan-2017 22:00:00	2.15
02-Jan-2017 23:00:00	2.15
03-Jan-2017 00:00:00	2.155
03-Jan-2017 01:00:00	2.155
03-Jan-2017 02:00:00	2.15
03-Jan-2017 03:00:00	2.1525
03-Jan-2017 04:00:00	2.1525
03-Jan-2017 05:00:00	2.1525
03-Jan-2017 06:00:00	2.145
03-Jan-2017 07:00:00	2.15
03-Jan-2017 08:00:00	2.15
03-Jan-2017 09:00:00	2.15
03-Jan-2017 10:00:00	2.15
03-Jan-2017 11:00:00	2.15
03-Jan-2017 12:00:00	2.1475
03-Jan-2017 13:00:00	2.15
03-Jan-2017 14:00:00	2.15
03-Jan-2017 15:00:00	2.16
03-Jan-2017 16:00:00	2.1625
03-Jan-2017 17:00:00	2.17
03-Jan-2017 18:00:00	2.175
03-Jan-2017 19:00:00	2.1925
03-Jan-2017 20:00:00	2.205
03-Jan-2017 21:00:00	2.2225
03-Jan-2017 22:00:00	2.2475
03-Jan-2017 23:00:00	2.26
04-Jan-2017 00:00:00	2.29
04-Jan-2017 01:00:00	2.3175
04-Jan-2017 02:00:00	2.3775
04-Jan-2017 03:00:00	2.4475
04-Jan-2017 04:00:00	2.5725
04-Jan-2017 05:00:00	2.7325
04-Jan-2017 06:00:00	2.9325
04-Jan-2017 07:00:00	3.135
04-Jan-2017 08:00:00	3.355
04-Jan-2017 09:00:00	3.565
04-Jan-2017 10:00:00	3.705
04-Jan-2017 11:00:00	3.81
04-Jan-2017 12:00:00	3.91
04-Jan-2017 13:00:00	3.9975
04-Jan-2017 14:00:00	4.065
04-Jan-2017 15:00:00	4.145
04-Jan-2017 16:00:00	4.2225
04-Jan-2017 17:00:00	4.26
04-Jan-2017 18:00:00	4.2575
04-Jan-2017 19:00:00	4.2275
04-Jan-2017 20:00:00	4.1825
04-Jan-2017 21:00:00	4.1225
04-Jan-2017 22:00:00	4.0625
04-Jan-2017 23:00:00	4.0075
05-Jan-2017 00:00:00	3.945
05-Jan-2017 01:00:00	3.895
05-Jan-2017 02:00:00	3.8325
05-Jan-2017 03:00:00	3.7875
05-Jan-2017 04:00:00	3.7375
05-Jan-2017 05:00:00	3.69
05-Jan-2017 06:00:00	3.6575
05-Jan-2017 07:00:00	3.61
05-Jan-2017 08:00:00	3.575
05-Jan-2017 09:00:00	3.5375
05-Jan-2017 10:00:00	3.5
05-Jan-2017 11:00:00	3.47
05-Jan-2017 12:00:00	3.435
05-Jan-2017 13:00:00	3.4
05-Jan-2017 14:00:00	3.38
05-Jan-2017 15:00:00	3.3475
05-Jan-2017 16:00:00	3.325
05-Jan-2017 17:00:00	3.31
05-Jan-2017 18:00:00	3.29
05-Jan-2017 19:00:00	3.2625
05-Jan-2017 20:00:00	3.2375
05-Jan-2017 21:00:00	3.2175
05-Jan-2017 22:00:00	3.2075
05-Jan-2017 23:00:00	3.18
06-Jan-2017 00:00:00	3.165
06-Jan-2017 01:00:00	3.145
06-Jan-2017 02:00:00	3.12
06-Jan-2017 03:00:00	3.1025
06-Jan-2017 04:00:00	3.085
06-Jan-2017 05:00:00	3.055
06-Jan-2017 06:00:00	3.04
06-Jan-2017 07:00:00	3.0225
06-Jan-2017 08:00:00	3.01
06-Jan-2017 09:00:00	2.99
06-Jan-2017 10:00:00	2.97
06-Jan-2017 11:00:00	2.95
06-Jan-2017 12:00:00	2.9425
06-Jan-2017 13:00:00	2.935
06-Jan-2017 14:00:00	2.9225
06-Jan-2017 15:00:00	2.9125
06-Jan-2017 16:00:00	2.9125
06-Jan-2017 17:00:00	2.91
06-Jan-2017 18:00:00	2.905
06-Jan-2017 19:00:00	2.895
06-Jan-2017 20:00:00	2.8875
06-Jan-2017 21:00:00	2.88
06-Jan-2017 22:00:00	2.875
06-Jan-2017 23:00:00	2.8575
07-Jan-2017 00:00:00	2.845
07-Jan-2017 01:00:00	2.8375
07-Jan-2017 02:00:00	2.825
07-Jan-2017 03:00:00	2.82
07-Jan-2017 04:00:00	2.805
07-Jan-2017 05:00:00	2.805
07-Jan-2017 06:00:00	2.785
07-Jan-2017 07:00:00	2.7925
07-Jan-2017 08:00:00	2.79
07-Jan-2017 09:00:00	2.7925
07-Jan-2017 10:00:00	2.7875
07-Jan-2017 11:00:00	2.795
07-Jan-2017 12:00:00	2.795
07-Jan-2017 13:00:00	2.805
07-Jan-2017 14:00:00	2.8125
07-Jan-2017 15:00:00	2.825
07-Jan-2017 16:00:00	2.855
07-Jan-2017 17:00:00	2.9025
07-Jan-2017 18:00:00	2.9825
07-Jan-2017 19:00:00	3.0725
07-Jan-2017 20:00:00	3.2075
07-Jan-2017 21:00:00	3.3575
07-Jan-2017 22:00:00	3.515
07-Jan-2017 23:00:00	3.655
08-Jan-2017 00:00:00	3.76
08-Jan-2017 01:00:00	3.86
08-Jan-2017 02:00:00	3.9825
