Hour	MeanValue
01-Jan-2017 00:00:00	2.74
01-Jan-2017 01:00:00	2.73
01-Jan-2017 02:00:00	2.73
01-Jan-2017 03:00:00	2.73
01-Jan-2017 04:00:00	2.73
01-Jan-2017 05:00:00	2.73
01-Jan-2017 06:00:00	2.72
01-Jan-2017 07:00:00	2.71
01-Jan-2017 08:00:00	2.71
01-Jan-2017 09:00:00	2.71
01-Jan-2017 10:00:00	2.71
01-Jan-2017 11:00:00	2.71
01-Jan-2017 12:00:00	2.7
01-Jan-2017 13:00:00	2.7
01-Jan-2017 14:00:00	2.7
01-Jan-2017 15:00:00	2.7
01-Jan-2017 16:00:00	2.7
01-Jan-2017 17:00:00	2.7
01-Jan-2017 18:00:00	2.7
01-Jan-2017 19:00:00	2.69
01-Jan-2017 20:00:00	2.69
01-Jan-2017 21:00:00	2.69
01-Jan-2017 22:00:00	2.68
01-Jan-2017 23:00:00	2.71
02-Jan-2017 00:00:00	2.74
02-Jan-2017 01:00:00	2.72
02-Jan-2017 02:00:00	2.71
02-Jan-2017 03:00:00	2.71
02-Jan-2017 04:00:00	2.7
02-Jan-2017 05:00:00	2.7
02-Jan-2017 06:00:00	2.7
02-Jan-2017 07:00:00	2.7
02-Jan-2017 08:00:00	2.69
02-Jan-2017 09:00:00	2.69
02-Jan-2017 10:00:00	2.68
02-Jan-2017 11:00:00	2.69
02-Jan-2017 12:00:00	2.68
02-Jan-2017 13:00:00	2.67
02-Jan-2017 14:00:00	2.67
02-Jan-2017 15:00:00	2.68
02-Jan-2017 16:00:00	2.68
02-Jan-2017 17:00:00	2.69
02-Jan-2017 18:00:00	2.69
02-Jan-2017 19:00:00	2.7
02-Jan-2017 20:00:00	2.7
02-Jan-2017 21:00:00	2.7
02-Jan-2017 22:00:00	2.7
02-Jan-2017 23:00:00	2.7
03-Jan-2017 00:00:00	2.7
03-Jan-2017 01:00:00	2.7
03-Jan-2017 02:00:00	2.7
03-Jan-2017 03:00:00	2.7
03-Jan-2017 04:00:00	2.7
03-Jan-2017 05:00:00	2.7
03-Jan-2017 06:00:00	2.7
03-Jan-2017 07:00:00	2.71
03-Jan-2017 08:00:00	2.71
03-Jan-2017 09:00:00	2.71
03-Jan-2017 10:00:00	2.7
03-Jan-2017 11:00:00	2.7
03-Jan-2017 12:00:00	2.69
03-Jan-2017 13:00:00	2.7
03-Jan-2017 14:00:00	2.7
03-Jan-2017 15:00:00	2.7
03-Jan-2017 16:00:00	2.71
03-Jan-2017 17:00:00	2.73
03-Jan-2017 18:00:00	2.75
03-Jan-2017 19:00:00	2.76
03-Jan-2017 20:00:00	2.75
03-Jan-2017 21:00:00	2.77
03-Jan-2017 22:00:00	2.77
03-Jan-2017 23:00:00	2.78
04-Jan-2017 00:00:00	2.79
04-Jan-2017 01:00:00	2.78
04-Jan-2017 02:00:00	2.8
04-Jan-2017 03:00:00	2.82
04-Jan-2017 04:00:00	2.87
04-Jan-2017 05:00:00	2.93
04-Jan-2017 06:00:00	3.01
04-Jan-2017 07:00:00	3.07
04-Jan-2017 08:00:00	3.11
04-Jan-2017 09:00:00	3.14
04-Jan-2017 10:00:00	3.16
04-Jan-2017 11:00:00	3.16
04-Jan-2017 12:00:00	3.16
04-Jan-2017 13:00:00	3.2
04-Jan-2017 14:00:00	3.26
04-Jan-2017 15:00:00	3.35
04-Jan-2017 16:00:00	3.47
04-Jan-2017 17:00:00	3.61
04-Jan-2017 18:00:00	3.73
04-Jan-2017 19:00:00	3.87
04-Jan-2017 20:00:00	3.94
04-Jan-2017 21:00:00	3.95
04-Jan-2017 22:00:00	3.95
04-Jan-2017 23:00:00	3.94
05-Jan-2017 00:00:00	3.94
05-Jan-2017 01:00:00	3.92
05-Jan-2017 02:00:00	3.89
05-Jan-2017 03:00:00	3.87
05-Jan-2017 04:00:00	3.86
05-Jan-2017 05:00:00	3.82
05-Jan-2017 06:00:00	3.81
05-Jan-2017 07:00:00	3.78
05-Jan-2017 08:00:00	3.75
05-Jan-2017 09:00:00	3.73
05-Jan-2017 10:00:00	3.7
05-Jan-2017 11:00:00	3.66
05-Jan-2017 12:00:00	3.64
05-Jan-2017 13:00:00	3.62
05-Jan-2017 14:00:00	3.59
05-Jan-2017 15:00:00	3.57
05-Jan-2017 16:00:00	3.55
05-Jan-2017 17:00:00	3.53
05-Jan-2017 18:00:00	3.51
05-Jan-2017 19:00:00	3.49
05-Jan-2017 20:00:00	3.47
05-Jan-2017 21:00:00	3.46
05-Jan-2017 22:00:00	3.44
05-Jan-2017 23:00:00	3.42
06-Jan-2017 00:00:00	NaN
06-Jan-2017 01:00:00	3.92
06-Jan-2017 02:00:00	3.93
06-Jan-2017 03:00:00	3.92
06-Jan-2017 04:00:00	3.91
06-Jan-2017 05:00:00	3.88
06-Jan-2017 06:00:00	3.87
06-Jan-2017 07:00:00	3.83
06-Jan-2017 08:00:00	3.8
06-Jan-2017 09:00:00	3.78
06-Jan-2017 10:00:00	3.77
06-Jan-2017 11:00:00	3.77
06-Jan-2017 12:00:00	3.79
06-Jan-2017 13:00:00	3.81
06-Jan-2017 14:00:00	3.82
