Hour	MeanValue
01-Jan-2017 00:00:00	2.96
01-Jan-2017 01:00:00	2.47
01-Jan-2017 02:00:00	2.03
01-Jan-2017 03:00:00	2
01-Jan-2017 04:00:00	2
01-Jan-2017 05:00:00	2
01-Jan-2017 06:00:00	2.2
01-Jan-2017 07:00:00	3.065
01-Jan-2017 08:00:00	3.705
01-Jan-2017 09:00:00	3.73
01-Jan-2017 10:00:00	3.735
01-Jan-2017 11:00:00	3.7375
01-Jan-2017 12:00:00	3.535
01-Jan-2017 13:00:00	2.7525
01-Jan-2017 14:00:00	2.1375
01-Jan-2017 15:00:00	1.6825
01-Jan-2017 16:00:00	2.3225
01-Jan-2017 17:00:00	3.2725
01-Jan-2017 18:00:00	3.965
01-Jan-2017 19:00:00	4.015
01-Jan-2017 20:00:00	4.025
01-Jan-2017 21:00:00	4.0275
01-Jan-2017 22:00:00	4.1825
01-Jan-2017 23:00:00	4.25
02-Jan-2017 00:00:00	4.26
02-Jan-2017 01:00:00	4.19
02-Jan-2017 02:00:00	3.5375
02-Jan-2017 03:00:00	2.765
02-Jan-2017 04:00:00	2.635
02-Jan-2017 05:00:00	2.6325
02-Jan-2017 06:00:00	2.63
02-Jan-2017 07:00:00	2.63
02-Jan-2017 08:00:00	2.6975
02-Jan-2017 09:00:00	3.4125
02-Jan-2017 10:00:00	4.075
02-Jan-2017 11:00:00	4.2625
02-Jan-2017 12:00:00	4.2675
02-Jan-2017 13:00:00	4.275
02-Jan-2017 14:00:00	4.27
02-Jan-2017 15:00:00	4.275
02-Jan-2017 16:00:00	4.27
02-Jan-2017 17:00:00	4.265
02-Jan-2017 18:00:00	4.725
02-Jan-2017 19:00:00	5.1275
02-Jan-2017 20:00:00	5.335
02-Jan-2017 21:00:00	5.4175
02-Jan-2017 22:00:00	5.34
02-Jan-2017 23:00:00	4.865
03-Jan-2017 00:00:00	4.1475
03-Jan-2017 01:00:00	3.36
03-Jan-2017 02:00:00	2.6975
03-Jan-2017 03:00:00	2.63
03-Jan-2017 04:00:00	2.675
03-Jan-2017 05:00:00	3.415
03-Jan-2017 06:00:00	4.145
03-Jan-2017 07:00:00	4.2725
03-Jan-2017 08:00:00	4.2775
03-Jan-2017 09:00:00	4.295
03-Jan-2017 10:00:00	4.2775
03-Jan-2017 11:00:00	4.2575
03-Jan-2017 12:00:00	4.25666666666667
03-Jan-2017 13:00:00	4.26
03-Jan-2017 14:00:00	4.2625
03-Jan-2017 15:00:00	4.2925
03-Jan-2017 16:00:00	4.72
03-Jan-2017 17:00:00	5.125
03-Jan-2017 18:00:00	5.59
03-Jan-2017 19:00:00	5.3525
03-Jan-2017 20:00:00	4.9875
03-Jan-2017 21:00:00	4.48
03-Jan-2017 22:00:00	4.2675
03-Jan-2017 23:00:00	4.2625
04-Jan-2017 00:00:00	4.255
04-Jan-2017 01:00:00	4.2525
04-Jan-2017 02:00:00	4.2525
04-Jan-2017 03:00:00	4.2575
04-Jan-2017 04:00:00	4.2625
04-Jan-2017 05:00:00	4.2575
04-Jan-2017 06:00:00	4.265
04-Jan-2017 07:00:00	4.3625
04-Jan-2017 08:00:00	5.0175
04-Jan-2017 09:00:00	5.975
04-Jan-2017 10:00:00	6.7675
04-Jan-2017 11:00:00	7.215
04-Jan-2017 12:00:00	7.2275
04-Jan-2017 13:00:00	7.165
04-Jan-2017 14:00:00	7.1
04-Jan-2017 15:00:00	7.175
04-Jan-2017 16:00:00	7.275
04-Jan-2017 17:00:00	7.7125
04-Jan-2017 18:00:00	8.25
04-Jan-2017 19:00:00	8.645
04-Jan-2017 20:00:00	8.7025
04-Jan-2017 21:00:00	8.6625
04-Jan-2017 22:00:00	8.575
04-Jan-2017 23:00:00	8.4775
05-Jan-2017 00:00:00	8.405
05-Jan-2017 01:00:00	8.3225
05-Jan-2017 02:00:00	8.215
05-Jan-2017 03:00:00	8.135
05-Jan-2017 04:00:00	8.0425
05-Jan-2017 05:00:00	7.945
05-Jan-2017 06:00:00	7.815
05-Jan-2017 07:00:00	7.7525
05-Jan-2017 08:00:00	7.7
05-Jan-2017 09:00:00	7.61
05-Jan-2017 10:00:00	7.575
05-Jan-2017 11:00:00	7.5175
05-Jan-2017 12:00:00	7.1125
05-Jan-2017 13:00:00	7.1425
05-Jan-2017 14:00:00	7.1975
05-Jan-2017 15:00:00	7.13
05-Jan-2017 16:00:00	7.1275
05-Jan-2017 17:00:00	7.1675
05-Jan-2017 18:00:00	7.15
05-Jan-2017 19:00:00	7.1575
05-Jan-2017 20:00:00	7.155
05-Jan-2017 21:00:00	7.135
05-Jan-2017 22:00:00	7.1125
05-Jan-2017 23:00:00	7.075
06-Jan-2017 00:00:00	7.05
06-Jan-2017 01:00:00	7.03
06-Jan-2017 02:00:00	7.0075
06-Jan-2017 03:00:00	6.99
06-Jan-2017 04:00:00	6.98
06-Jan-2017 05:00:00	6.9775
06-Jan-2017 06:00:00	6.9525
06-Jan-2017 07:00:00	6.955
06-Jan-2017 08:00:00	6.93
06-Jan-2017 09:00:00	6.9125
06-Jan-2017 10:00:00	6.8175
06-Jan-2017 11:00:00	6.8625
06-Jan-2017 12:00:00	6.86
06-Jan-2017 13:00:00	6.8725
06-Jan-2017 14:00:00	6.87
06-Jan-2017 15:00:00	6.865
06-Jan-2017 16:00:00	6.855
06-Jan-2017 17:00:00	6.8575
06-Jan-2017 18:00:00	6.8475
06-Jan-2017 19:00:00	6.8475
06-Jan-2017 20:00:00	6.8275
06-Jan-2017 21:00:00	6.8275
06-Jan-2017 22:00:00	6.82
06-Jan-2017 23:00:00	6.815
07-Jan-2017 00:00:00	6.81
07-Jan-2017 01:00:00	6.8075
07-Jan-2017 02:00:00	6.7925
07-Jan-2017 03:00:00	6.7925
07-Jan-2017 04:00:00	6.79
07-Jan-2017 05:00:00	6.7825
07-Jan-2017 06:00:00	6.7925
07-Jan-2017 07:00:00	6.7875
07-Jan-2017 08:00:00	6.7875
07-Jan-2017 09:00:00	6.79
07-Jan-2017 10:00:00	6.785
07-Jan-2017 11:00:00	6.7825
07-Jan-2017 12:00:00	6.795
07-Jan-2017 13:00:00	6.805
07-Jan-2017 14:00:00	6.8225
07-Jan-2017 15:00:00	6.8525
07-Jan-2017 16:00:00	6.87
07-Jan-2017 17:00:00	6.9025
07-Jan-2017 18:00:00	6.945
07-Jan-2017 19:00:00	6.9825
07-Jan-2017 20:00:00	6.9975
07-Jan-2017 21:00:00	6.9925
07-Jan-2017 22:00:00	6.995
07-Jan-2017 23:00:00	6.9775
08-Jan-2017 00:00:00	6.99
08-Jan-2017 01:00:00	6.99
08-Jan-2017 02:00:00	7.02
08-Jan-2017 03:00:00	7.0825
08-Jan-2017 04:00:00	7.16
08-Jan-2017 05:00:00	7.305
08-Jan-2017 06:00:00	7.48
08-Jan-2017 07:00:00	7.6175
08-Jan-2017 08:00:00	7.68
08-Jan-2017 09:00:00	7.6675
08-Jan-2017 10:00:00	7.675
08-Jan-2017 11:00:00	7.6675
08-Jan-2017 12:00:00	7.7025
08-Jan-2017 13:00:00	7.8125
08-Jan-2017 14:00:00	7.9825
08-Jan-2017 15:00:00	10.025
08-Jan-2017 16:00:00	12.41
08-Jan-2017 17:00:00	13.425
08-Jan-2017 18:00:00	14.02
08-Jan-2017 19:00:00	14.5925
08-Jan-2017 20:00:00	14.785
08-Jan-2017 21:00:00	14.9325
08-Jan-2017 22:00:00	15.135
08-Jan-2017 23:00:00	15.275
09-Jan-2017 00:00:00	15.4225
09-Jan-2017 01:00:00	15.7975
09-Jan-2017 02:00:00	15.8025
09-Jan-2017 03:00:00	15.7275
09-Jan-2017 04:00:00	15.66
09-Jan-2017 05:00:00	15.7125
09-Jan-2017 06:00:00	15.7475
09-Jan-2017 07:00:00	15.53
09-Jan-2017 08:00:00	15.2525
09-Jan-2017 09:00:00	14.7825
09-Jan-2017 10:00:00	14.225
09-Jan-2017 11:00:00	13.8475
09-Jan-2017 12:00:00	13.41
09-Jan-2017 13:00:00	12.9775
09-Jan-2017 14:00:00	12.7525
09-Jan-2017 15:00:00	12.455
09-Jan-2017 16:00:00	12.2475
09-Jan-2017 17:00:00	12.0075
09-Jan-2017 18:00:00	11.79
09-Jan-2017 19:00:00	11.6033333333333
09-Jan-2017 20:00:00	11.545
09-Jan-2017 21:00:00	11.34
09-Jan-2017 22:00:00	11.3275
09-Jan-2017 23:00:00	11.245
10-Jan-2017 00:00:00	11.275
10-Jan-2017 01:00:00	11.23
10-Jan-2017 02:00:00	11.2625
10-Jan-2017 03:00:00	11.37
10-Jan-2017 04:00:00	11.495
10-Jan-2017 05:00:00	11.6825
10-Jan-2017 06:00:00	11.9025
10-Jan-2017 07:00:00	12.0225
10-Jan-2017 08:00:00	12.1975
10-Jan-2017 09:00:00	12.2975
10-Jan-2017 10:00:00	12.455
10-Jan-2017 11:00:00	12.655
10-Jan-2017 12:00:00	12.73
10-Jan-2017 13:00:00	12.8525
10-Jan-2017 14:00:00	12.885
10-Jan-2017 15:00:00	12.9275
10-Jan-2017 16:00:00	12.7875
10-Jan-2017 17:00:00	12.8325
10-Jan-2017 18:00:00	12.7575
10-Jan-2017 19:00:00	12.7725
10-Jan-2017 20:00:00	12.6975
10-Jan-2017 21:00:00	12.9225
10-Jan-2017 22:00:00	13.3775
10-Jan-2017 23:00:00	14.1275
11-Jan-2017 00:00:00	14.4175
11-Jan-2017 01:00:00	14.4875
11-Jan-2017 02:00:00	14.12
11-Jan-2017 03:00:00	13.855
11-Jan-2017 04:00:00	13.6175
11-Jan-2017 05:00:00	13.345
11-Jan-2017 06:00:00	13.0825
11-Jan-2017 07:00:00	12.8975
11-Jan-2017 08:00:00	12.7775
11-Jan-2017 09:00:00	12.6475
11-Jan-2017 10:00:00	12.5325
11-Jan-2017 11:00:00	12.36
11-Jan-2017 12:00:00	11.9025
11-Jan-2017 13:00:00	12.0075
11-Jan-2017 14:00:00	12.055
11-Jan-2017 15:00:00	11.87
11-Jan-2017 16:00:00	11.695
11-Jan-2017 17:00:00	11.5425
11-Jan-2017 18:00:00	11.365
11-Jan-2017 19:00:00	11.205
11-Jan-2017 20:00:00	11.055
11-Jan-2017 21:00:00	10.9525
11-Jan-2017 22:00:00	10.84
11-Jan-2017 23:00:00	10.74
12-Jan-2017 00:00:00	10.67
12-Jan-2017 01:00:00	10.48
12-Jan-2017 02:00:00	10.2775
12-Jan-2017 03:00:00	10.125
12-Jan-2017 04:00:00	10.0375
12-Jan-2017 05:00:00	9.925
12-Jan-2017 06:00:00	9.7925
12-Jan-2017 07:00:00	9.77
12-Jan-2017 08:00:00	9.72
12-Jan-2017 09:00:00	9.705
12-Jan-2017 10:00:00	9.6975
12-Jan-2017 11:00:00	9.6375
12-Jan-2017 12:00:00	9.565
12-Jan-2017 13:00:00	9.45
12-Jan-2017 14:00:00	9.37
12-Jan-2017 15:00:00	9.3
12-Jan-2017 16:00:00	9.2625
12-Jan-2017 17:00:00	9.1725
12-Jan-2017 18:00:00	9.1225
12-Jan-2017 19:00:00	9.125
12-Jan-2017 20:00:00	9.0575
12-Jan-2017 21:00:00	9.055
12-Jan-2017 22:00:00	9.01
12-Jan-2017 23:00:00	8.975
13-Jan-2017 00:00:00	8.8925
13-Jan-2017 01:00:00	8.7925
13-Jan-2017 02:00:00	8.6975
13-Jan-2017 03:00:00	8.68
13-Jan-2017 04:00:00	8.6475
13-Jan-2017 05:00:00	8.5875
13-Jan-2017 06:00:00	8.545
13-Jan-2017 07:00:00	8.5075
13-Jan-2017 08:00:00	8.525
13-Jan-2017 09:00:00	8.4825
13-Jan-2017 10:00:00	8.465
13-Jan-2017 11:00:00	8.4375
13-Jan-2017 12:00:00	8.3925
13-Jan-2017 13:00:00	8.31
13-Jan-2017 14:00:00	8.245
13-Jan-2017 15:00:00	8.205
13-Jan-2017 16:00:00	8.2
13-Jan-2017 17:00:00	8.165
13-Jan-2017 18:00:00	8.1725
13-Jan-2017 19:00:00	8.13
13-Jan-2017 20:00:00	8.1275
13-Jan-2017 21:00:00	8.1025
13-Jan-2017 22:00:00	8.0675
13-Jan-2017 23:00:00	8.04
14-Jan-2017 00:00:00	8.0025
14-Jan-2017 01:00:00	7.9625
14-Jan-2017 02:00:00	7.8675
14-Jan-2017 03:00:00	7.805
14-Jan-2017 04:00:00	7.785
14-Jan-2017 05:00:00	7.7425
14-Jan-2017 06:00:00	7.725
14-Jan-2017 07:00:00	7.6825
14-Jan-2017 08:00:00	7.6575
