Hour	MeanValue
01-Jan-2017 00:00:00	2.85
01-Jan-2017 01:00:00	2.85
01-Jan-2017 02:00:00	2.85
01-Jan-2017 03:00:00	2.8525
01-Jan-2017 04:00:00	2.85
01-Jan-2017 05:00:00	2.85
01-Jan-2017 06:00:00	2.845
01-Jan-2017 07:00:00	2.84
01-Jan-2017 08:00:00	2.84
01-Jan-2017 09:00:00	2.84
01-Jan-2017 10:00:00	2.84
01-Jan-2017 11:00:00	2.84
01-Jan-2017 12:00:00	2.84
01-Jan-2017 13:00:00	2.8475
01-Jan-2017 14:00:00	2.85
01-Jan-2017 15:00:00	2.85
01-Jan-2017 16:00:00	2.85
01-Jan-2017 17:00:00	2.85
01-Jan-2017 18:00:00	2.85
01-Jan-2017 19:00:00	2.85
01-Jan-2017 20:00:00	2.85
01-Jan-2017 21:00:00	2.85
01-Jan-2017 22:00:00	2.85
01-Jan-2017 23:00:00	2.85
02-Jan-2017 00:00:00	2.85
02-Jan-2017 01:00:00	2.85
02-Jan-2017 02:00:00	2.85
02-Jan-2017 03:00:00	2.845
02-Jan-2017 04:00:00	2.84
02-Jan-2017 05:00:00	2.84
02-Jan-2017 06:00:00	2.84
02-Jan-2017 07:00:00	2.84
02-Jan-2017 08:00:00	2.84
02-Jan-2017 09:00:00	2.84
02-Jan-2017 10:00:00	2.84
02-Jan-2017 11:00:00	2.84
02-Jan-2017 12:00:00	2.84
02-Jan-2017 13:00:00	2.85
02-Jan-2017 14:00:00	2.855
02-Jan-2017 15:00:00	2.875
02-Jan-2017 16:00:00	2.8975
02-Jan-2017 17:00:00	2.9075
02-Jan-2017 18:00:00	2.9975
02-Jan-2017 19:00:00	3.08
02-Jan-2017 20:00:00	3.1525
02-Jan-2017 21:00:00	3.215
02-Jan-2017 22:00:00	3.32
02-Jan-2017 23:00:00	3.485
03-Jan-2017 00:00:00	3.6675
03-Jan-2017 01:00:00	3.835
03-Jan-2017 02:00:00	3.9475
03-Jan-2017 03:00:00	4.0325
03-Jan-2017 04:00:00	4.145
03-Jan-2017 05:00:00	4.2725
03-Jan-2017 06:00:00	4.3925
03-Jan-2017 07:00:00	4.6125
03-Jan-2017 08:00:00	4.855
03-Jan-2017 09:00:00	5.105
03-Jan-2017 10:00:00	5.3625
03-Jan-2017 11:00:00	5.5025
03-Jan-2017 12:00:00	5.55
03-Jan-2017 13:00:00	5.55
03-Jan-2017 14:00:00	5.515
03-Jan-2017 15:00:00	5.4725
03-Jan-2017 16:00:00	5.45
03-Jan-2017 17:00:00	5.485
03-Jan-2017 18:00:00	5.5725
03-Jan-2017 19:00:00	5.635
03-Jan-2017 20:00:00	5.61
03-Jan-2017 21:00:00	5.545
03-Jan-2017 22:00:00	5.4825
03-Jan-2017 23:00:00	5.4575
04-Jan-2017 00:00:00	5.4775
04-Jan-2017 01:00:00	5.615
04-Jan-2017 02:00:00	5.945
04-Jan-2017 03:00:00	6.515
04-Jan-2017 04:00:00	7.445
04-Jan-2017 05:00:00	7.795
