Hour	MeanValue
01-Jan-2017 00:00:00	8.8875
01-Jan-2017 01:00:00	8.89
01-Jan-2017 02:00:00	8.8825
01-Jan-2017 03:00:00	8.8775
01-Jan-2017 04:00:00	8.87
01-Jan-2017 05:00:00	8.875
01-Jan-2017 06:00:00	8.8625
01-Jan-2017 07:00:00	8.8625
01-Jan-2017 08:00:00	8.86
01-Jan-2017 09:00:00	8.8575
01-Jan-2017 10:00:00	8.8575
01-Jan-2017 11:00:00	8.8475
01-Jan-2017 12:00:00	8.84
01-Jan-2017 13:00:00	8.8375
01-Jan-2017 14:00:00	8.8375
01-Jan-2017 15:00:00	8.835
01-Jan-2017 16:00:00	8.835
01-Jan-2017 17:00:00	8.845
01-Jan-2017 18:00:00	8.8475
01-Jan-2017 19:00:00	8.8425
01-Jan-2017 20:00:00	8.8525
01-Jan-2017 21:00:00	8.8425
01-Jan-2017 22:00:00	8.85
01-Jan-2017 23:00:00	8.8475
02-Jan-2017 00:00:00	8.8475
02-Jan-2017 01:00:00	8.84
02-Jan-2017 02:00:00	8.84
02-Jan-2017 03:00:00	8.8425
02-Jan-2017 04:00:00	8.85
02-Jan-2017 05:00:00	8.8425
02-Jan-2017 06:00:00	8.845
02-Jan-2017 07:00:00	8.835
02-Jan-2017 08:00:00	8.835
02-Jan-2017 09:00:00	8.8325
02-Jan-2017 10:00:00	8.825
02-Jan-2017 11:00:00	8.83
02-Jan-2017 12:00:00	8.83
02-Jan-2017 13:00:00	8.8125
02-Jan-2017 14:00:00	8.82
02-Jan-2017 15:00:00	8.8325
02-Jan-2017 16:00:00	8.835
02-Jan-2017 17:00:00	8.8325
02-Jan-2017 18:00:00	8.8325
02-Jan-2017 19:00:00	8.835
02-Jan-2017 20:00:00	8.8275
02-Jan-2017 21:00:00	8.835
02-Jan-2017 22:00:00	8.83
02-Jan-2017 23:00:00	8.825
03-Jan-2017 00:00:00	8.835
03-Jan-2017 01:00:00	8.8325
03-Jan-2017 02:00:00	8.84
03-Jan-2017 03:00:00	8.845
03-Jan-2017 04:00:00	8.835
03-Jan-2017 05:00:00	8.83
03-Jan-2017 06:00:00	8.8275
03-Jan-2017 07:00:00	8.8325
03-Jan-2017 08:00:00	8.83
03-Jan-2017 09:00:00	8.835
03-Jan-2017 10:00:00	8.8275
03-Jan-2017 11:00:00	8.845
03-Jan-2017 12:00:00	8.84
03-Jan-2017 13:00:00	8.8525
03-Jan-2017 14:00:00	8.855
03-Jan-2017 15:00:00	8.87
03-Jan-2017 16:00:00	8.865
03-Jan-2017 17:00:00	8.87
03-Jan-2017 18:00:00	8.8925
