Hour	MeanValue
01-Jan-2017 00:00:00	4.86
01-Jan-2017 01:00:00	4.9
01-Jan-2017 02:00:00	4.87
01-Jan-2017 03:00:00	4.87
01-Jan-2017 04:00:00	4.89
01-Jan-2017 05:00:00	4.87
01-Jan-2017 06:00:00	4.89
01-Jan-2017 07:00:00	4.88
01-Jan-2017 08:00:00	4.86
01-Jan-2017 09:00:00	4.85
01-Jan-2017 10:00:00	4.86
01-Jan-2017 11:00:00	4.86
01-Jan-2017 12:00:00	4.85
01-Jan-2017 13:00:00	4.84
01-Jan-2017 14:00:00	4.87
01-Jan-2017 15:00:00	4.87
01-Jan-2017 16:00:00	4.89
01-Jan-2017 17:00:00	4.88
01-Jan-2017 18:00:00	4.88
01-Jan-2017 19:00:00	4.87
01-Jan-2017 20:00:00	4.89
01-Jan-2017 21:00:00	4.87
01-Jan-2017 22:00:00	4.88
01-Jan-2017 23:00:00	4.87
02-Jan-2017 00:00:00	4.87
02-Jan-2017 01:00:00	4.89
02-Jan-2017 02:00:00	4.88
02-Jan-2017 03:00:00	4.88
02-Jan-2017 04:00:00	4.86
02-Jan-2017 05:00:00	4.91
02-Jan-2017 06:00:00	4.87
02-Jan-2017 07:00:00	4.88
02-Jan-2017 08:00:00	4.87
02-Jan-2017 09:00:00	4.9
02-Jan-2017 10:00:00	4.93
02-Jan-2017 11:00:00	4.92
02-Jan-2017 12:00:00	4.93
02-Jan-2017 13:00:00	4.92
02-Jan-2017 14:00:00	4.91
02-Jan-2017 15:00:00	4.91
02-Jan-2017 16:00:00	4.93
02-Jan-2017 17:00:00	4.96
02-Jan-2017 18:00:00	4.97
02-Jan-2017 19:00:00	4.99
02-Jan-2017 20:00:00	5.01
02-Jan-2017 21:00:00	4.96
02-Jan-2017 22:00:00	5.03
02-Jan-2017 23:00:00	5.07
03-Jan-2017 00:00:00	5.08
03-Jan-2017 01:00:00	5.08
03-Jan-2017 02:00:00	5.15
03-Jan-2017 03:00:00	5.21
03-Jan-2017 04:00:00	5.28
03-Jan-2017 05:00:00	5.33
03-Jan-2017 06:00:00	5.35
03-Jan-2017 07:00:00	5.42
03-Jan-2017 08:00:00	5.57
03-Jan-2017 09:00:00	5.57
03-Jan-2017 10:00:00	5.56
03-Jan-2017 11:00:00	5.58
03-Jan-2017 12:00:00	5.6
03-Jan-2017 13:00:00	5.58
03-Jan-2017 14:00:00	5.61
03-Jan-2017 15:00:00	5.64
03-Jan-2017 16:00:00	5.75
03-Jan-2017 17:00:00	5.96
03-Jan-2017 18:00:00	6.07
03-Jan-2017 19:00:00	6.14
03-Jan-2017 20:00:00	6.17
03-Jan-2017 21:00:00	6.2
03-Jan-2017 22:00:00	6.36
03-Jan-2017 23:00:00	6.53
04-Jan-2017 00:00:00	6.75
04-Jan-2017 01:00:00	7.01
04-Jan-2017 02:00:00	7.42
04-Jan-2017 03:00:00	8.25
04-Jan-2017 04:00:00	8.69
04-Jan-2017 05:00:00	9.02
04-Jan-2017 06:00:00	9.16
04-Jan-2017 07:00:00	9.38
04-Jan-2017 08:00:00	9.58
04-Jan-2017 09:00:00	9.97
04-Jan-2017 10:00:00	9.99
04-Jan-2017 11:00:00	10.15
04-Jan-2017 12:00:00	10.22
04-Jan-2017 13:00:00	10.23
04-Jan-2017 14:00:00	10.48
04-Jan-2017 15:00:00	10.66
04-Jan-2017 16:00:00	10.78
04-Jan-2017 17:00:00	10.9
04-Jan-2017 18:00:00	10.99
04-Jan-2017 19:00:00	10.93
