Hour	MeanValue
01-Jan-2017 00:00:00	7.09
01-Jan-2017 01:00:00	7.09
01-Jan-2017 02:00:00	7.09
01-Jan-2017 03:00:00	7.09
01-Jan-2017 04:00:00	7.09
01-Jan-2017 05:00:00	7.09
01-Jan-2017 06:00:00	7.09
01-Jan-2017 07:00:00	7.09
01-Jan-2017 08:00:00	7.09
01-Jan-2017 09:00:00	7.09
01-Jan-2017 10:00:00	7.09
01-Jan-2017 11:00:00	7.1
01-Jan-2017 12:00:00	7.1
01-Jan-2017 13:00:00	7.1
01-Jan-2017 14:00:00	7.1
01-Jan-2017 15:00:00	7.11
01-Jan-2017 16:00:00	7.1
01-Jan-2017 17:00:00	7.11
01-Jan-2017 18:00:00	7.11
01-Jan-2017 19:00:00	7.1
01-Jan-2017 20:00:00	7.1
01-Jan-2017 21:00:00	7.1
01-Jan-2017 22:00:00	7.11
01-Jan-2017 23:00:00	7.11
02-Jan-2017 00:00:00	7.1
02-Jan-2017 01:00:00	7.1
02-Jan-2017 02:00:00	7.1
02-Jan-2017 03:00:00	7.1
02-Jan-2017 04:00:00	7.1
02-Jan-2017 05:00:00	7.1
02-Jan-2017 06:00:00	7.1
02-Jan-2017 07:00:00	7.1
02-Jan-2017 08:00:00	7.1
02-Jan-2017 09:00:00	7.11
02-Jan-2017 10:00:00	7.11
02-Jan-2017 11:00:00	7.11
02-Jan-2017 12:00:00	7.11
02-Jan-2017 13:00:00	7.11
02-Jan-2017 14:00:00	7.11
02-Jan-2017 15:00:00	7.12
02-Jan-2017 16:00:00	7.12
02-Jan-2017 17:00:00	7.11
02-Jan-2017 18:00:00	7.12
02-Jan-2017 19:00:00	7.12
02-Jan-2017 20:00:00	7.12
02-Jan-2017 21:00:00	7.13
02-Jan-2017 22:00:00	7.13
02-Jan-2017 23:00:00	7.13
03-Jan-2017 00:00:00	7.13
03-Jan-2017 01:00:00	7.13
03-Jan-2017 02:00:00	7.13
03-Jan-2017 03:00:00	7.14
03-Jan-2017 04:00:00	7.13
03-Jan-2017 05:00:00	7.14
03-Jan-2017 06:00:00	7.14
03-Jan-2017 07:00:00	7.13
03-Jan-2017 08:00:00	7.13
03-Jan-2017 09:00:00	7.13
03-Jan-2017 10:00:00	7.14
03-Jan-2017 11:00:00	7.14
03-Jan-2017 12:00:00	7.14
03-Jan-2017 13:00:00	7.14
03-Jan-2017 14:00:00	7.14
03-Jan-2017 15:00:00	7.15
03-Jan-2017 16:00:00	7.15
03-Jan-2017 17:00:00	7.16
03-Jan-2017 18:00:00	7.17
03-Jan-2017 19:00:00	7.17
03-Jan-2017 20:00:00	7.18
03-Jan-2017 21:00:00	7.19
03-Jan-2017 22:00:00	7.19
03-Jan-2017 23:00:00	7.2
04-Jan-2017 00:00:00	7.21
04-Jan-2017 01:00:00	7.23
04-Jan-2017 02:00:00	7.28
04-Jan-2017 03:00:00	7.36
04-Jan-2017 04:00:00	7.4
04-Jan-2017 05:00:00	7.43
04-Jan-2017 06:00:00	7.51
04-Jan-2017 07:00:00	7.54
04-Jan-2017 08:00:00	8.36
04-Jan-2017 09:00:00	8.66
04-Jan-2017 10:00:00	8.7
04-Jan-2017 11:00:00	8.69
04-Jan-2017 12:00:00	8.63
