Hour	MeanValue
01-Jan-2017 00:00:00	2.7725
01-Jan-2017 01:00:00	2.7825
01-Jan-2017 02:00:00	2.7925
01-Jan-2017 03:00:00	2.8025
01-Jan-2017 04:00:00	2.8125
01-Jan-2017 05:00:00	2.82
01-Jan-2017 06:00:00	2.8275
01-Jan-2017 07:00:00	2.83
01-Jan-2017 08:00:00	2.83
01-Jan-2017 09:00:00	2.825
01-Jan-2017 10:00:00	2.815
01-Jan-2017 11:00:00	2.8025
01-Jan-2017 12:00:00	2.7875
01-Jan-2017 13:00:00	2.78
01-Jan-2017 14:00:00	2.77
01-Jan-2017 15:00:00	2.7625
01-Jan-2017 16:00:00	2.755
01-Jan-2017 17:00:00	2.7475
01-Jan-2017 18:00:00	2.74
01-Jan-2017 19:00:00	2.74
01-Jan-2017 20:00:00	2.74
01-Jan-2017 21:00:00	2.74
01-Jan-2017 22:00:00	2.7475
01-Jan-2017 23:00:00	2.76
02-Jan-2017 00:00:00	2.7725
02-Jan-2017 01:00:00	2.7875
02-Jan-2017 02:00:00	2.8
02-Jan-2017 03:00:00	2.81
02-Jan-2017 04:00:00	2.815
02-Jan-2017 05:00:00	2.82
02-Jan-2017 06:00:00	2.815
02-Jan-2017 07:00:00	2.805
02-Jan-2017 08:00:00	2.7875
02-Jan-2017 09:00:00	2.7625
02-Jan-2017 10:00:00	2.7375
02-Jan-2017 11:00:00	2.7125
02-Jan-2017 12:00:00	2.695
02-Jan-2017 13:00:00	2.68
02-Jan-2017 14:00:00	2.67
02-Jan-2017 15:00:00	2.6625
02-Jan-2017 16:00:00	2.66
02-Jan-2017 17:00:00	2.655
02-Jan-2017 18:00:00	2.65
02-Jan-2017 19:00:00	2.6425
02-Jan-2017 20:00:00	2.6375
02-Jan-2017 21:00:00	2.625
02-Jan-2017 22:00:00	2.6125
02-Jan-2017 23:00:00	2.61
03-Jan-2017 00:00:00	2.62
03-Jan-2017 01:00:00	2.6175
03-Jan-2017 02:00:00	2.61
03-Jan-2017 03:00:00	2.605
03-Jan-2017 04:00:00	2.6
03-Jan-2017 05:00:00	2.6
03-Jan-2017 06:00:00	2.5875
03-Jan-2017 07:00:00	2.58
03-Jan-2017 08:00:00	2.58
03-Jan-2017 09:00:00	2.58
03-Jan-2017 10:00:00	2.58
03-Jan-2017 11:00:00	2.5925
03-Jan-2017 12:00:00	2.6025
03-Jan-2017 13:00:00	2.6075
03-Jan-2017 14:00:00	2.6
03-Jan-2017 15:00:00	2.5925
03-Jan-2017 16:00:00	2.575
03-Jan-2017 17:00:00	2.5625
03-Jan-2017 18:00:00	2.55
03-Jan-2017 19:00:00	2.54
03-Jan-2017 20:00:00	2.5325
03-Jan-2017 21:00:00	2.53
03-Jan-2017 22:00:00	2.525
03-Jan-2017 23:00:00	2.52
04-Jan-2017 00:00:00	2.53
04-Jan-2017 01:00:00	2.5325
04-Jan-2017 02:00:00	2.545
04-Jan-2017 03:00:00	2.57
04-Jan-2017 04:00:00	2.5925
04-Jan-2017 05:00:00	2.62
04-Jan-2017 06:00:00	2.64
04-Jan-2017 07:00:00	2.6575
04-Jan-2017 08:00:00	2.675
04-Jan-2017 09:00:00	2.7
04-Jan-2017 10:00:00	2.725
04-Jan-2017 11:00:00	2.75
04-Jan-2017 12:00:00	2.7775
04-Jan-2017 13:00:00	2.8025
04-Jan-2017 14:00:00	2.825
04-Jan-2017 15:00:00	2.845
04-Jan-2017 16:00:00	2.8625
04-Jan-2017 17:00:00	2.885
04-Jan-2017 18:00:00	2.9025
04-Jan-2017 19:00:00	2.92
04-Jan-2017 20:00:00	2.935
04-Jan-2017 21:00:00	2.955
04-Jan-2017 22:00:00	2.975
04-Jan-2017 23:00:00	2.995
05-Jan-2017 00:00:00	3.015
05-Jan-2017 01:00:00	3.035
05-Jan-2017 02:00:00	3.05
05-Jan-2017 03:00:00	3.0675
05-Jan-2017 04:00:00	3.0825
05-Jan-2017 05:00:00	3.1
05-Jan-2017 06:00:00	3.115
05-Jan-2017 07:00:00	3.1275
05-Jan-2017 08:00:00	3.14
05-Jan-2017 09:00:00	3.1425
05-Jan-2017 10:00:00	3.15
05-Jan-2017 11:00:00	3.15
05-Jan-2017 12:00:00	3.16
05-Jan-2017 13:00:00	3.165
05-Jan-2017 14:00:00	3.1775
05-Jan-2017 15:00:00	3.1925
05-Jan-2017 16:00:00	3.205
05-Jan-2017 17:00:00	3.2175
05-Jan-2017 18:00:00	3.2325
05-Jan-2017 19:00:00	3.245
05-Jan-2017 20:00:00	3.2475
05-Jan-2017 21:00:00	3.2375
