Hour	MeanValue
01-Jan-2017 00:00:00	1.36
01-Jan-2017 01:00:00	1.355
01-Jan-2017 02:00:00	1.3525
01-Jan-2017 03:00:00	1.35
01-Jan-2017 04:00:00	1.35
01-Jan-2017 05:00:00	1.345
01-Jan-2017 06:00:00	1.34
01-Jan-2017 07:00:00	1.34
01-Jan-2017 08:00:00	1.34
01-Jan-2017 09:00:00	1.335
01-Jan-2017 10:00:00	1.3325
01-Jan-2017 11:00:00	1.3375
01-Jan-2017 12:00:00	1.335
01-Jan-2017 13:00:00	1.335
01-Jan-2017 14:00:00	1.33
01-Jan-2017 15:00:00	1.325
01-Jan-2017 16:00:00	1.33
01-Jan-2017 17:00:00	1.325
01-Jan-2017 18:00:00	1.3225
01-Jan-2017 19:00:00	1.325
01-Jan-2017 20:00:00	1.32
01-Jan-2017 21:00:00	1.3175
01-Jan-2017 22:00:00	1.315
01-Jan-2017 23:00:00	1.32
02-Jan-2017 00:00:00	1.32
02-Jan-2017 01:00:00	1.32
02-Jan-2017 02:00:00	1.3175
02-Jan-2017 03:00:00	1.3175
02-Jan-2017 04:00:00	1.3175
02-Jan-2017 05:00:00	1.32
02-Jan-2017 06:00:00	1.3225
02-Jan-2017 07:00:00	1.325
02-Jan-2017 08:00:00	1.335
02-Jan-2017 09:00:00	1.34
02-Jan-2017 10:00:00	1.35
02-Jan-2017 11:00:00	1.35
02-Jan-2017 12:00:00	1.36
02-Jan-2017 13:00:00	1.3525
02-Jan-2017 14:00:00	1.355
02-Jan-2017 15:00:00	1.3575
02-Jan-2017 16:00:00	1.3575
02-Jan-2017 17:00:00	1.35
02-Jan-2017 18:00:00	1.3525
02-Jan-2017 19:00:00	1.36
02-Jan-2017 20:00:00	1.3575
02-Jan-2017 21:00:00	1.3675
02-Jan-2017 22:00:00	1.3725
02-Jan-2017 23:00:00	1.3775
03-Jan-2017 00:00:00	1.3775
03-Jan-2017 01:00:00	1.375
03-Jan-2017 02:00:00	1.3875
03-Jan-2017 03:00:00	1.3925
03-Jan-2017 04:00:00	1.41
03-Jan-2017 05:00:00	1.4225
03-Jan-2017 06:00:00	1.43
03-Jan-2017 07:00:00	1.4425
03-Jan-2017 08:00:00	1.455
03-Jan-2017 09:00:00	1.48
03-Jan-2017 10:00:00	1.5
03-Jan-2017 11:00:00	1.52
03-Jan-2017 12:00:00	NaN
03-Jan-2017 13:00:00	1.5475
03-Jan-2017 14:00:00	1.565
03-Jan-2017 15:00:00	1.58
03-Jan-2017 16:00:00	1.595
03-Jan-2017 17:00:00	1.61
03-Jan-2017 18:00:00	1.615
03-Jan-2017 19:00:00	1.6175
03-Jan-2017 20:00:00	1.64
03-Jan-2017 21:00:00	1.67
03-Jan-2017 22:00:00	1.705
03-Jan-2017 23:00:00	1.7425
04-Jan-2017 00:00:00	1.785
04-Jan-2017 01:00:00	1.865
04-Jan-2017 02:00:00	1.98
04-Jan-2017 03:00:00	2.1425
04-Jan-2017 04:00:00	2.3375
04-Jan-2017 05:00:00	2.5975
04-Jan-2017 06:00:00	2.9025
04-Jan-2017 07:00:00	3.2175
04-Jan-2017 08:00:00	3.495
04-Jan-2017 09:00:00	3.6875
04-Jan-2017 10:00:00	3.8
04-Jan-2017 11:00:00	3.895
04-Jan-2017 12:00:00	3.99
04-Jan-2017 13:00:00	4.08
04-Jan-2017 14:00:00	4.155
04-Jan-2017 15:00:00	4.2225
04-Jan-2017 16:00:00	4.3025
04-Jan-2017 17:00:00	4.4025
04-Jan-2017 18:00:00	4.515
04-Jan-2017 19:00:00	4.6025
04-Jan-2017 20:00:00	4.685
