Hour	MeanValue
01-Jan-2017 00:00:00	5.9375
01-Jan-2017 01:00:00	5.9325
01-Jan-2017 02:00:00	5.935
01-Jan-2017 03:00:00	5.9275
01-Jan-2017 04:00:00	5.925
01-Jan-2017 05:00:00	5.92
01-Jan-2017 06:00:00	5.9175
01-Jan-2017 07:00:00	5.9175
01-Jan-2017 08:00:00	5.91
01-Jan-2017 09:00:00	5.91
01-Jan-2017 10:00:00	5.91
01-Jan-2017 11:00:00	5.9125
01-Jan-2017 12:00:00	5.915
01-Jan-2017 13:00:00	5.9275
01-Jan-2017 14:00:00	5.9325
01-Jan-2017 15:00:00	5.9325
01-Jan-2017 16:00:00	5.925
01-Jan-2017 17:00:00	5.92
01-Jan-2017 18:00:00	5.915
01-Jan-2017 19:00:00	5.92
01-Jan-2017 20:00:00	5.92
01-Jan-2017 21:00:00	5.92
01-Jan-2017 22:00:00	5.9225
01-Jan-2017 23:00:00	5.9225
02-Jan-2017 00:00:00	5.925
02-Jan-2017 01:00:00	5.9225
02-Jan-2017 02:00:00	5.9125
02-Jan-2017 03:00:00	5.91
02-Jan-2017 04:00:00	5.9075
02-Jan-2017 05:00:00	5.9025
02-Jan-2017 06:00:00	5.8975
02-Jan-2017 07:00:00	5.9
02-Jan-2017 08:00:00	5.905
02-Jan-2017 09:00:00	5.9025
02-Jan-2017 10:00:00	5.91
02-Jan-2017 11:00:00	5.9025
02-Jan-2017 12:00:00	5.895
02-Jan-2017 13:00:00	5.885
02-Jan-2017 14:00:00	5.8875
02-Jan-2017 15:00:00	5.885
02-Jan-2017 16:00:00	5.8875
02-Jan-2017 17:00:00	5.885
02-Jan-2017 18:00:00	5.9
02-Jan-2017 19:00:00	5.9175
02-Jan-2017 20:00:00	5.9375
02-Jan-2017 21:00:00	5.96
02-Jan-2017 22:00:00	5.97
02-Jan-2017 23:00:00	NaN
03-Jan-2017 00:00:00	NaN
03-Jan-2017 01:00:00	6.005
03-Jan-2017 02:00:00	5.9975
03-Jan-2017 03:00:00	5.9975
03-Jan-2017 04:00:00	NaN
03-Jan-2017 05:00:00	NaN
03-Jan-2017 06:00:00	NaN
03-Jan-2017 07:00:00	NaN
03-Jan-2017 08:00:00	NaN
03-Jan-2017 09:00:00	NaN
03-Jan-2017 10:00:00	NaN
03-Jan-2017 11:00:00	NaN
03-Jan-2017 12:00:00	NaN
03-Jan-2017 13:00:00	5.96
03-Jan-2017 14:00:00	5.975
03-Jan-2017 15:00:00	6
03-Jan-2017 16:00:00	6.02
03-Jan-2017 17:00:00	6.0325
03-Jan-2017 18:00:00	6.0325
03-Jan-2017 19:00:00	6.0975
03-Jan-2017 20:00:00	6.14
03-Jan-2017 21:00:00	6.215
03-Jan-2017 22:00:00	6.3025
03-Jan-2017 23:00:00	6.4475
04-Jan-2017 00:00:00	6.5975
04-Jan-2017 01:00:00	6.8175
04-Jan-2017 02:00:00	7.175
04-Jan-2017 03:00:00	7.63
04-Jan-2017 04:00:00	8.1125
04-Jan-2017 05:00:00	8.5775
04-Jan-2017 06:00:00	8.92
04-Jan-2017 07:00:00	9.2025
04-Jan-2017 08:00:00	9.5175
04-Jan-2017 09:00:00	9.71
04-Jan-2017 10:00:00	9.7025
04-Jan-2017 11:00:00	9.805
04-Jan-2017 12:00:00	9.91
04-Jan-2017 13:00:00	10.07
04-Jan-2017 14:00:00	10.1325
04-Jan-2017 15:00:00	10.115
04-Jan-2017 16:00:00	10.1475
04-Jan-2017 17:00:00	10.0925
04-Jan-2017 18:00:00	10.0025
04-Jan-2017 19:00:00	9.86
04-Jan-2017 20:00:00	9.7825
04-Jan-2017 21:00:00	9.7
04-Jan-2017 22:00:00	9.5525
04-Jan-2017 23:00:00	9.4225
05-Jan-2017 00:00:00	9.33
05-Jan-2017 01:00:00	9.225
05-Jan-2017 02:00:00	9.11
05-Jan-2017 03:00:00	9.04
05-Jan-2017 04:00:00	8.9525
05-Jan-2017 05:00:00	8.8675
05-Jan-2017 06:00:00	8.81
05-Jan-2017 07:00:00	8.73
05-Jan-2017 08:00:00	8.7025
05-Jan-2017 09:00:00	8.6175
05-Jan-2017 10:00:00	8.5575
05-Jan-2017 11:00:00	8.5175
05-Jan-2017 12:00:00	8.4575
05-Jan-2017 13:00:00	8.41
05-Jan-2017 14:00:00	8.36
05-Jan-2017 15:00:00	8.3025
05-Jan-2017 16:00:00	8.255
05-Jan-2017 17:00:00	8.2175
05-Jan-2017 18:00:00	8.175
05-Jan-2017 19:00:00	8.14
05-Jan-2017 20:00:00	8.0925
05-Jan-2017 21:00:00	8.045
05-Jan-2017 22:00:00	8.025
05-Jan-2017 23:00:00	7.985
06-Jan-2017 00:00:00	7.9475
06-Jan-2017 01:00:00	7.9025
06-Jan-2017 02:00:00	7.875
06-Jan-2017 03:00:00	7.845
06-Jan-2017 04:00:00	7.8075
06-Jan-2017 05:00:00	7.77
06-Jan-2017 06:00:00	7.73
06-Jan-2017 07:00:00	7.72
06-Jan-2017 08:00:00	7.695
06-Jan-2017 09:00:00	7.6525
06-Jan-2017 10:00:00	7.64
06-Jan-2017 11:00:00	7.6075
06-Jan-2017 12:00:00	7.57
06-Jan-2017 13:00:00	7.56
06-Jan-2017 14:00:00	7.5225
06-Jan-2017 15:00:00	7.5075
06-Jan-2017 16:00:00	7.49
