Hour	MeanValue
01-Jan-2017 00:00:00	18.99
01-Jan-2017 01:00:00	19.02
01-Jan-2017 02:00:00	18.98
01-Jan-2017 03:00:00	19
01-Jan-2017 04:00:00	19.02
01-Jan-2017 05:00:00	19.03
01-Jan-2017 06:00:00	19.01
01-Jan-2017 07:00:00	18.97
01-Jan-2017 08:00:00	18.94
01-Jan-2017 09:00:00	18.95
01-Jan-2017 10:00:00	18.95
01-Jan-2017 11:00:00	18.94
01-Jan-2017 12:00:00	18.95
01-Jan-2017 13:00:00	18.96
01-Jan-2017 14:00:00	18.94
01-Jan-2017 15:00:00	18.94
01-Jan-2017 16:00:00	18.95
01-Jan-2017 17:00:00	18.93
01-Jan-2017 18:00:00	18.95
01-Jan-2017 19:00:00	18.96
01-Jan-2017 20:00:00	18.94
01-Jan-2017 21:00:00	18.95
01-Jan-2017 22:00:00	18.92
01-Jan-2017 23:00:00	18.97
02-Jan-2017 00:00:00	18.93
02-Jan-2017 01:00:00	18.96
02-Jan-2017 02:00:00	18.96
02-Jan-2017 03:00:00	18.94
02-Jan-2017 04:00:00	18.96
02-Jan-2017 05:00:00	18.96
02-Jan-2017 06:00:00	18.96
02-Jan-2017 07:00:00	18.94
02-Jan-2017 08:00:00	18.91
02-Jan-2017 09:00:00	18.89
02-Jan-2017 10:00:00	18.89
02-Jan-2017 11:00:00	18.89
02-Jan-2017 12:00:00	18.89
02-Jan-2017 13:00:00	18.9
02-Jan-2017 14:00:00	18.9
02-Jan-2017 15:00:00	18.9
02-Jan-2017 16:00:00	18.91
02-Jan-2017 17:00:00	18.87
02-Jan-2017 18:00:00	18.92
02-Jan-2017 19:00:00	18.89
02-Jan-2017 20:00:00	18.91
02-Jan-2017 21:00:00	18.91
02-Jan-2017 22:00:00	18.9
02-Jan-2017 23:00:00	18.91
03-Jan-2017 00:00:00	18.89
03-Jan-2017 01:00:00	18.91
03-Jan-2017 02:00:00	18.91
03-Jan-2017 03:00:00	18.88
03-Jan-2017 04:00:00	18.92
03-Jan-2017 05:00:00	18.91
03-Jan-2017 06:00:00	18.9
03-Jan-2017 07:00:00	18.92
03-Jan-2017 08:00:00	18.91
03-Jan-2017 09:00:00	18.9
03-Jan-2017 10:00:00	18.92
03-Jan-2017 11:00:00	18.9
03-Jan-2017 12:00:00	18.91
03-Jan-2017 13:00:00	18.92
03-Jan-2017 14:00:00	18.9
03-Jan-2017 15:00:00	18.91
03-Jan-2017 16:00:00	18.92
03-Jan-2017 17:00:00	18.9
03-Jan-2017 18:00:00	18.89
03-Jan-2017 19:00:00	18.92
03-Jan-2017 20:00:00	18.93
03-Jan-2017 21:00:00	18.9
03-Jan-2017 22:00:00	18.94
03-Jan-2017 23:00:00	18.93
04-Jan-2017 00:00:00	18.96
04-Jan-2017 01:00:00	18.96
04-Jan-2017 02:00:00	18.97
04-Jan-2017 03:00:00	18.99
04-Jan-2017 04:00:00	19.05
04-Jan-2017 05:00:00	19.06
04-Jan-2017 06:00:00	19.89
04-Jan-2017 07:00:00	20.31
04-Jan-2017 08:00:00	20.55
04-Jan-2017 09:00:00	20.75
04-Jan-2017 10:00:00	20.87
04-Jan-2017 11:00:00	20.99
04-Jan-2017 12:00:00	21.09
04-Jan-2017 13:00:00	21.22
04-Jan-2017 14:00:00	21.62
04-Jan-2017 15:00:00	21.93
04-Jan-2017 16:00:00	22.34
04-Jan-2017 17:00:00	22.23
04-Jan-2017 18:00:00	22.4
04-Jan-2017 19:00:00	22.23
04-Jan-2017 20:00:00	21.76
04-Jan-2017 21:00:00	21.72
04-Jan-2017 22:00:00	21.49
04-Jan-2017 23:00:00	21.47
05-Jan-2017 00:00:00	21.31
05-Jan-2017 01:00:00	21.27
05-Jan-2017 02:00:00	21.02
05-Jan-2017 03:00:00	20.91
05-Jan-2017 04:00:00	20.88
05-Jan-2017 05:00:00	20.8
05-Jan-2017 06:00:00	20.59
05-Jan-2017 07:00:00	20.51
05-Jan-2017 08:00:00	20.54
05-Jan-2017 09:00:00	20.45
05-Jan-2017 10:00:00	20.48
05-Jan-2017 11:00:00	20.27
05-Jan-2017 12:00:00	19.53
05-Jan-2017 13:00:00	19.53
05-Jan-2017 14:00:00	19.47
05-Jan-2017 15:00:00	19.43
05-Jan-2017 16:00:00	19.37
05-Jan-2017 17:00:00	19.34
05-Jan-2017 18:00:00	19.3
05-Jan-2017 19:00:00	19.25
05-Jan-2017 20:00:00	19.2
05-Jan-2017 21:00:00	19.2
05-Jan-2017 22:00:00	19.13
05-Jan-2017 23:00:00	19.07
06-Jan-2017 00:00:00	19.02
06-Jan-2017 01:00:00	18.99
06-Jan-2017 02:00:00	18.92
06-Jan-2017 03:00:00	18.9
06-Jan-2017 04:00:00	18.85
06-Jan-2017 05:00:00	18.79
06-Jan-2017 06:00:00	18.76
06-Jan-2017 07:00:00	18.71
06-Jan-2017 08:00:00	18.67
06-Jan-2017 09:00:00	18.59
06-Jan-2017 10:00:00	17.97
06-Jan-2017 11:00:00	17.81
06-Jan-2017 12:00:00	17.79
06-Jan-2017 13:00:00	17.76
06-Jan-2017 14:00:00	17.75
06-Jan-2017 15:00:00	17.73
06-Jan-2017 16:00:00	17.73
06-Jan-2017 17:00:00	17.73
06-Jan-2017 18:00:00	17.73
06-Jan-2017 19:00:00	17.73
06-Jan-2017 20:00:00	17.73
06-Jan-2017 21:00:00	17.73
06-Jan-2017 22:00:00	17.72
06-Jan-2017 23:00:00	17.72
07-Jan-2017 00:00:00	17.71
07-Jan-2017 01:00:00	17.72
07-Jan-2017 02:00:00	17.7
07-Jan-2017 03:00:00	17.71
07-Jan-2017 04:00:00	17.72
07-Jan-2017 05:00:00	17.71
07-Jan-2017 06:00:00	17.71
07-Jan-2017 07:00:00	17.7
07-Jan-2017 08:00:00	17.71
07-Jan-2017 09:00:00	17.7
07-Jan-2017 10:00:00	17.71
07-Jan-2017 11:00:00	17.72
07-Jan-2017 12:00:00	17.72
