Hour	MeanValue
01-Jan-2017 00:00:00	1.87
01-Jan-2017 01:00:00	1.87
01-Jan-2017 02:00:00	1.86
01-Jan-2017 03:00:00	1.86
01-Jan-2017 04:00:00	1.87
01-Jan-2017 05:00:00	1.87
01-Jan-2017 06:00:00	1.87
01-Jan-2017 07:00:00	1.87
01-Jan-2017 08:00:00	1.87
01-Jan-2017 09:00:00	1.87
01-Jan-2017 10:00:00	1.87
01-Jan-2017 11:00:00	1.87
01-Jan-2017 12:00:00	1.87
01-Jan-2017 13:00:00	1.87
01-Jan-2017 14:00:00	1.87
01-Jan-2017 15:00:00	1.87
01-Jan-2017 16:00:00	1.87
01-Jan-2017 17:00:00	1.87
01-Jan-2017 18:00:00	1.86
01-Jan-2017 19:00:00	1.86
01-Jan-2017 20:00:00	1.87
01-Jan-2017 21:00:00	1.87
01-Jan-2017 22:00:00	1.87
01-Jan-2017 23:00:00	1.87
02-Jan-2017 00:00:00	1.87
02-Jan-2017 01:00:00	1.87
02-Jan-2017 02:00:00	1.87
02-Jan-2017 03:00:00	1.87
02-Jan-2017 04:00:00	1.88
02-Jan-2017 05:00:00	1.88
02-Jan-2017 06:00:00	1.88
02-Jan-2017 07:00:00	1.88
02-Jan-2017 08:00:00	1.88
02-Jan-2017 09:00:00	1.88
02-Jan-2017 10:00:00	1.88
02-Jan-2017 11:00:00	1.88
02-Jan-2017 12:00:00	1.88
02-Jan-2017 13:00:00	1.88
02-Jan-2017 14:00:00	1.88
02-Jan-2017 15:00:00	1.88
02-Jan-2017 16:00:00	1.88
02-Jan-2017 17:00:00	1.88
02-Jan-2017 18:00:00	1.88
02-Jan-2017 19:00:00	1.88
02-Jan-2017 20:00:00	1.88
02-Jan-2017 21:00:00	1.88
02-Jan-2017 22:00:00	1.88
02-Jan-2017 23:00:00	1.88
03-Jan-2017 00:00:00	1.87
03-Jan-2017 01:00:00	1.88
03-Jan-2017 02:00:00	1.88
03-Jan-2017 03:00:00	1.88
03-Jan-2017 04:00:00	1.88
03-Jan-2017 05:00:00	1.87
03-Jan-2017 06:00:00	1.88
03-Jan-2017 07:00:00	1.88
03-Jan-2017 08:00:00	1.87
03-Jan-2017 09:00:00	1.88
03-Jan-2017 10:00:00	1.88
03-Jan-2017 11:00:00	1.87
03-Jan-2017 12:00:00	1.87
03-Jan-2017 13:00:00	1.87
03-Jan-2017 14:00:00	1.87
03-Jan-2017 15:00:00	1.87
03-Jan-2017 16:00:00	1.87
03-Jan-2017 17:00:00	1.88
03-Jan-2017 18:00:00	1.88
03-Jan-2017 19:00:00	1.89
03-Jan-2017 20:00:00	1.89
03-Jan-2017 21:00:00	1.89
03-Jan-2017 22:00:00	1.9
03-Jan-2017 23:00:00	1.92
04-Jan-2017 00:00:00	1.95
04-Jan-2017 01:00:00	2
04-Jan-2017 02:00:00	2.06
04-Jan-2017 03:00:00	2.13
04-Jan-2017 04:00:00	2.19
04-Jan-2017 05:00:00	2.27
04-Jan-2017 06:00:00	2.32
04-Jan-2017 07:00:00	2.35
04-Jan-2017 08:00:00	2.35
04-Jan-2017 09:00:00	2.38
04-Jan-2017 10:00:00	2.4
04-Jan-2017 11:00:00	2.43
04-Jan-2017 12:00:00	2.46
04-Jan-2017 13:00:00	2.51
04-Jan-2017 14:00:00	2.57
04-Jan-2017 15:00:00	2.63
04-Jan-2017 16:00:00	2.69
04-Jan-2017 17:00:00	2.67
04-Jan-2017 18:00:00	2.6
04-Jan-2017 19:00:00	2.52
04-Jan-2017 20:00:00	2.46
04-Jan-2017 21:00:00	2.42
04-Jan-2017 22:00:00	2.4
04-Jan-2017 23:00:00	2.41
05-Jan-2017 00:00:00	2.42
05-Jan-2017 01:00:00	2.41
05-Jan-2017 02:00:00	2.39
05-Jan-2017 03:00:00	2.37
05-Jan-2017 04:00:00	2.35
05-Jan-2017 05:00:00	2.32
05-Jan-2017 06:00:00	2.3
05-Jan-2017 07:00:00	2.28
05-Jan-2017 08:00:00	2.27
05-Jan-2017 09:00:00	2.24
05-Jan-2017 10:00:00	2.23
05-Jan-2017 11:00:00	2.21
05-Jan-2017 12:00:00	2.19
05-Jan-2017 13:00:00	2.17
05-Jan-2017 14:00:00	2.16
05-Jan-2017 15:00:00	2.15
05-Jan-2017 16:00:00	2.13
05-Jan-2017 17:00:00	2.12
05-Jan-2017 18:00:00	2.11
05-Jan-2017 19:00:00	2.1
05-Jan-2017 20:00:00	2.09
05-Jan-2017 21:00:00	2.08
05-Jan-2017 22:00:00	2.07
05-Jan-2017 23:00:00	2.06
06-Jan-2017 00:00:00	2.06
06-Jan-2017 01:00:00	2.05
06-Jan-2017 02:00:00	2.04
06-Jan-2017 03:00:00	2.04
06-Jan-2017 04:00:00	2.04
06-Jan-2017 05:00:00	2.03
06-Jan-2017 06:00:00	2.02
06-Jan-2017 07:00:00	2.02
06-Jan-2017 08:00:00	2.02
06-Jan-2017 09:00:00	2.01
06-Jan-2017 10:00:00	2
06-Jan-2017 11:00:00	2
06-Jan-2017 12:00:00	2
06-Jan-2017 13:00:00	1.99
06-Jan-2017 14:00:00	1.99
06-Jan-2017 15:00:00	1.99
06-Jan-2017 16:00:00	1.99
06-Jan-2017 17:00:00	1.99
06-Jan-2017 18:00:00	1.98
06-Jan-2017 19:00:00	1.98
06-Jan-2017 20:00:00	1.98
06-Jan-2017 21:00:00	1.98
06-Jan-2017 22:00:00	1.97
06-Jan-2017 23:00:00	1.97
07-Jan-2017 00:00:00	1.97
07-Jan-2017 01:00:00	1.97
07-Jan-2017 02:00:00	1.96
07-Jan-2017 03:00:00	1.96
07-Jan-2017 04:00:00	1.96
07-Jan-2017 05:00:00	1.96
07-Jan-2017 06:00:00	1.96
07-Jan-2017 07:00:00	1.96
07-Jan-2017 08:00:00	1.97
07-Jan-2017 09:00:00	2
