Hour	MeanValue
01-Jan-2017 00:00:00	2.1375
01-Jan-2017 01:00:00	2.135
01-Jan-2017 02:00:00	2.13
01-Jan-2017 03:00:00	2.13
01-Jan-2017 04:00:00	2.13
01-Jan-2017 05:00:00	2.125
01-Jan-2017 06:00:00	2.1275
01-Jan-2017 07:00:00	2.1275
01-Jan-2017 08:00:00	2.1275
01-Jan-2017 09:00:00	2.125
01-Jan-2017 10:00:00	2.12
01-Jan-2017 11:00:00	2.1175
01-Jan-2017 12:00:00	2.11
01-Jan-2017 13:00:00	2.1175
01-Jan-2017 14:00:00	2.125
01-Jan-2017 15:00:00	2.125
01-Jan-2017 16:00:00	2.12
01-Jan-2017 17:00:00	2.115
01-Jan-2017 18:00:00	2.12
01-Jan-2017 19:00:00	2.1125
01-Jan-2017 20:00:00	2.1175
01-Jan-2017 21:00:00	2.1275
01-Jan-2017 22:00:00	2.1275
01-Jan-2017 23:00:00	2.1275
02-Jan-2017 00:00:00	2.13
02-Jan-2017 01:00:00	2.13
02-Jan-2017 02:00:00	2.13
02-Jan-2017 03:00:00	2.13
02-Jan-2017 04:00:00	2.1375
02-Jan-2017 05:00:00	2.1325
02-Jan-2017 06:00:00	2.1375
02-Jan-2017 07:00:00	2.1375
02-Jan-2017 08:00:00	2.1375
02-Jan-2017 09:00:00	2.135
02-Jan-2017 10:00:00	2.1375
02-Jan-2017 11:00:00	2.13
02-Jan-2017 12:00:00	2.13
02-Jan-2017 13:00:00	2.13
02-Jan-2017 14:00:00	2.1325
02-Jan-2017 15:00:00	2.12
02-Jan-2017 16:00:00	2.13
02-Jan-2017 17:00:00	2.1325
02-Jan-2017 18:00:00	2.13
02-Jan-2017 19:00:00	2.1375
02-Jan-2017 20:00:00	2.135
02-Jan-2017 21:00:00	2.1375
02-Jan-2017 22:00:00	2.15
02-Jan-2017 23:00:00	2.15
03-Jan-2017 00:00:00	2.1525
03-Jan-2017 01:00:00	2.16
03-Jan-2017 02:00:00	2.1525
03-Jan-2017 03:00:00	2.155
03-Jan-2017 04:00:00	2.15
03-Jan-2017 05:00:00	2.15
03-Jan-2017 06:00:00	2.145
03-Jan-2017 07:00:00	2.15
03-Jan-2017 08:00:00	2.15
03-Jan-2017 09:00:00	2.15
03-Jan-2017 10:00:00	2.15
03-Jan-2017 11:00:00	2.15
03-Jan-2017 12:00:00	NaN
03-Jan-2017 13:00:00	NaN
03-Jan-2017 14:00:00	2.15
03-Jan-2017 15:00:00	2.1575
03-Jan-2017 16:00:00	2.16
03-Jan-2017 17:00:00	2.1675
03-Jan-2017 18:00:00	2.1725
03-Jan-2017 19:00:00	2.1875
03-Jan-2017 20:00:00	2.2
03-Jan-2017 21:00:00	2.2175
03-Jan-2017 22:00:00	2.2375
03-Jan-2017 23:00:00	2.2525
04-Jan-2017 00:00:00	2.2775
04-Jan-2017 01:00:00	2.305
04-Jan-2017 02:00:00	2.36
04-Jan-2017 03:00:00	2.4225
04-Jan-2017 04:00:00	2.5175
04-Jan-2017 05:00:00	2.6675
04-Jan-2017 06:00:00	2.8525
04-Jan-2017 07:00:00	3.0675
04-Jan-2017 08:00:00	3.27
04-Jan-2017 09:00:00	3.4875
04-Jan-2017 10:00:00	3.655
04-Jan-2017 11:00:00	3.7675
04-Jan-2017 12:00:00	3.87
04-Jan-2017 13:00:00	3.9675
04-Jan-2017 14:00:00	4.04
04-Jan-2017 15:00:00	4.1175
04-Jan-2017 16:00:00	4.1975
04-Jan-2017 17:00:00	4.25
04-Jan-2017 18:00:00	4.2625
04-Jan-2017 19:00:00	4.245
04-Jan-2017 20:00:00	4.2025
04-Jan-2017 21:00:00	4.145
04-Jan-2017 22:00:00	4.085
04-Jan-2017 23:00:00	4.0275
05-Jan-2017 00:00:00	3.97
05-Jan-2017 01:00:00	3.9175
05-Jan-2017 02:00:00	3.86
05-Jan-2017 03:00:00	3.8075
05-Jan-2017 04:00:00	3.7525
05-Jan-2017 05:00:00	3.71
05-Jan-2017 06:00:00	3.675
05-Jan-2017 07:00:00	3.625
05-Jan-2017 08:00:00	3.59
05-Jan-2017 09:00:00	3.55
05-Jan-2017 10:00:00	3.5125
05-Jan-2017 11:00:00	3.4825
05-Jan-2017 12:00:00	3.45
05-Jan-2017 13:00:00	3.4125
05-Jan-2017 14:00:00	3.39
05-Jan-2017 15:00:00	3.3575
05-Jan-2017 16:00:00	3.3375
05-Jan-2017 17:00:00	3.315
05-Jan-2017 18:00:00	3.2925
05-Jan-2017 19:00:00	3.2725
05-Jan-2017 20:00:00	3.245
05-Jan-2017 21:00:00	3.225
05-Jan-2017 22:00:00	3.215
05-Jan-2017 23:00:00	3.185
06-Jan-2017 00:00:00	3.17
06-Jan-2017 01:00:00	3.15
06-Jan-2017 02:00:00	3.1275
06-Jan-2017 03:00:00	3.1075
06-Jan-2017 04:00:00	3.0925
06-Jan-2017 05:00:00	3.0675
06-Jan-2017 06:00:00	3.0475
06-Jan-2017 07:00:00	3.035
06-Jan-2017 08:00:00	3.02
06-Jan-2017 09:00:00	2.9975
06-Jan-2017 10:00:00	2.9775
06-Jan-2017 11:00:00	2.9625
06-Jan-2017 12:00:00	2.9475
06-Jan-2017 13:00:00	2.9375
06-Jan-2017 14:00:00	2.9275
06-Jan-2017 15:00:00	2.9125
06-Jan-2017 16:00:00	2.9175
06-Jan-2017 17:00:00	2.91
06-Jan-2017 18:00:00	2.91
06-Jan-2017 19:00:00	2.8925
06-Jan-2017 20:00:00	2.8875
06-Jan-2017 21:00:00	2.8825
06-Jan-2017 22:00:00	2.87
06-Jan-2017 23:00:00	2.86
07-Jan-2017 00:00:00	2.85
07-Jan-2017 01:00:00	2.8375
07-Jan-2017 02:00:00	2.8275
07-Jan-2017 03:00:00	2.8225
07-Jan-2017 04:00:00	2.8
07-Jan-2017 05:00:00	2.8075
07-Jan-2017 06:00:00	2.7875
07-Jan-2017 07:00:00	2.7875
07-Jan-2017 08:00:00	2.79
07-Jan-2017 09:00:00	2.7925
07-Jan-2017 10:00:00	2.7925
07-Jan-2017 11:00:00	2.7925
07-Jan-2017 12:00:00	2.7925
07-Jan-2017 13:00:00	2.8025
07-Jan-2017 14:00:00	2.8125
07-Jan-2017 15:00:00	2.8225
07-Jan-2017 16:00:00	2.8475
07-Jan-2017 17:00:00	2.8825
07-Jan-2017 18:00:00	2.95
07-Jan-2017 19:00:00	3.035
07-Jan-2017 20:00:00	3.1525
07-Jan-2017 21:00:00	3.3
07-Jan-2017 22:00:00	3.4575
07-Jan-2017 23:00:00	3.605
08-Jan-2017 00:00:00	3.725
08-Jan-2017 01:00:00	3.8175
08-Jan-2017 02:00:00	3.94
08-Jan-2017 03:00:00	4.055
08-Jan-2017 04:00:00	4.185
08-Jan-2017 05:00:00	4.3825
08-Jan-2017 06:00:00	4.71
08-Jan-2017 07:00:00	5.1975
08-Jan-2017 08:00:00	5.845
08-Jan-2017 09:00:00	6.6225
08-Jan-2017 10:00:00	7.405
08-Jan-2017 11:00:00	8.13
08-Jan-2017 12:00:00	8.7
08-Jan-2017 13:00:00	9.24
08-Jan-2017 14:00:00	9.875
08-Jan-2017 15:00:00	10.55
08-Jan-2017 16:00:00	11.2475
08-Jan-2017 17:00:00	11.85
08-Jan-2017 18:00:00	12.2225
08-Jan-2017 19:00:00	12.5175
08-Jan-2017 20:00:00	12.685
08-Jan-2017 21:00:00	12.7925
08-Jan-2017 22:00:00	12.72
08-Jan-2017 23:00:00	12.46
09-Jan-2017 00:00:00	12.1375
09-Jan-2017 01:00:00	11.7975
09-Jan-2017 02:00:00	11.435
09-Jan-2017 03:00:00	11.02
09-Jan-2017 04:00:00	10.6175
09-Jan-2017 05:00:00	10.2825
09-Jan-2017 06:00:00	9.9875
09-Jan-2017 07:00:00	9.705
09-Jan-2017 08:00:00	9.4425
09-Jan-2017 09:00:00	9.1825
09-Jan-2017 10:00:00	8.9575
09-Jan-2017 11:00:00	8.655
09-Jan-2017 12:00:00	8.365
09-Jan-2017 13:00:00	8.0775
09-Jan-2017 14:00:00	7.785
09-Jan-2017 15:00:00	7.5175
09-Jan-2017 16:00:00	7.285
09-Jan-2017 17:00:00	7.125
09-Jan-2017 18:00:00	6.9925
09-Jan-2017 19:00:00	6.8725
09-Jan-2017 20:00:00	6.745
09-Jan-2017 21:00:00	6.6675
09-Jan-2017 22:00:00	6.6275
09-Jan-2017 23:00:00	6.6575
10-Jan-2017 00:00:00	6.6675
10-Jan-2017 01:00:00	6.715
10-Jan-2017 02:00:00	6.825
10-Jan-2017 03:00:00	6.9475
10-Jan-2017 04:00:00	7.09
10-Jan-2017 05:00:00	7.2425
10-Jan-2017 06:00:00	7.3325
10-Jan-2017 07:00:00	7.365
10-Jan-2017 08:00:00	7.3825
10-Jan-2017 09:00:00	7.3825
10-Jan-2017 10:00:00	7.405
10-Jan-2017 11:00:00	7.5175
10-Jan-2017 12:00:00	7.745
10-Jan-2017 13:00:00	8.005
10-Jan-2017 14:00:00	8.2525
10-Jan-2017 15:00:00	8.55
10-Jan-2017 16:00:00	8.8425
10-Jan-2017 17:00:00	9.1025
10-Jan-2017 18:00:00	9.2375
10-Jan-2017 19:00:00	9.405
10-Jan-2017 20:00:00	9.6
10-Jan-2017 21:00:00	9.7625
10-Jan-2017 22:00:00	9.81
10-Jan-2017 23:00:00	9.8375
11-Jan-2017 00:00:00	9.8675
11-Jan-2017 01:00:00	9.8325
11-Jan-2017 02:00:00	9.705
11-Jan-2017 03:00:00	9.5
11-Jan-2017 04:00:00	9.2775
11-Jan-2017 05:00:00	9.06
11-Jan-2017 06:00:00	8.86
11-Jan-2017 07:00:00	8.6225
11-Jan-2017 08:00:00	8.365
11-Jan-2017 09:00:00	8.14
11-Jan-2017 10:00:00	7.9525
11-Jan-2017 11:00:00	7.795
11-Jan-2017 12:00:00	7.6775
11-Jan-2017 13:00:00	7.47
11-Jan-2017 14:00:00	7.29
11-Jan-2017 15:00:00	7.1375
11-Jan-2017 16:00:00	6.9875
11-Jan-2017 17:00:00	6.8825
11-Jan-2017 18:00:00	6.745
11-Jan-2017 19:00:00	6.6375
11-Jan-2017 20:00:00	6.56
11-Jan-2017 21:00:00	6.4325
11-Jan-2017 22:00:00	6.3325
11-Jan-2017 23:00:00	6.2425
12-Jan-2017 00:00:00	6.1525
12-Jan-2017 01:00:00	6.0675
12-Jan-2017 02:00:00	5.9875
12-Jan-2017 03:00:00	5.9075
12-Jan-2017 04:00:00	5.84
12-Jan-2017 05:00:00	5.77
12-Jan-2017 06:00:00	5.7025
12-Jan-2017 07:00:00	5.6375
12-Jan-2017 08:00:00	5.58
12-Jan-2017 09:00:00	5.515
12-Jan-2017 10:00:00	5.46
12-Jan-2017 11:00:00	5.4125
12-Jan-2017 12:00:00	5.365
12-Jan-2017 13:00:00	5.3125
12-Jan-2017 14:00:00	5.265
12-Jan-2017 15:00:00	5.2275
12-Jan-2017 16:00:00	5.1825
12-Jan-2017 17:00:00	5.145
12-Jan-2017 18:00:00	5.1
12-Jan-2017 19:00:00	5.06
12-Jan-2017 20:00:00	5.0125
12-Jan-2017 21:00:00	4.97
12-Jan-2017 22:00:00	4.9275
12-Jan-2017 23:00:00	4.8875
13-Jan-2017 00:00:00	4.85
13-Jan-2017 01:00:00	4.815
13-Jan-2017 02:00:00	4.77
13-Jan-2017 03:00:00	4.735
13-Jan-2017 04:00:00	4.7
13-Jan-2017 05:00:00	4.665
13-Jan-2017 06:00:00	4.6325
13-Jan-2017 07:00:00	4.595
13-Jan-2017 08:00:00	4.5625
13-Jan-2017 09:00:00	4.53
13-Jan-2017 10:00:00	4.5
13-Jan-2017 11:00:00	4.4725
13-Jan-2017 12:00:00	4.435
13-Jan-2017 13:00:00	4.41
13-Jan-2017 14:00:00	4.3875
13-Jan-2017 15:00:00	4.36
13-Jan-2017 16:00:00	4.34
13-Jan-2017 17:00:00	4.32
13-Jan-2017 18:00:00	4.3025
13-Jan-2017 19:00:00	4.2825
13-Jan-2017 20:00:00	4.26
13-Jan-2017 21:00:00	4.235
13-Jan-2017 22:00:00	4.2125
13-Jan-2017 23:00:00	4.19
14-Jan-2017 00:00:00	4.17
14-Jan-2017 01:00:00	4.15
14-Jan-2017 02:00:00	4.13
14-Jan-2017 03:00:00	4.11
14-Jan-2017 04:00:00	4.09
14-Jan-2017 05:00:00	4.0775
14-Jan-2017 06:00:00	4.055
14-Jan-2017 07:00:00	4.035
14-Jan-2017 08:00:00	4.02
14-Jan-2017 09:00:00	4
14-Jan-2017 10:00:00	3.98
14-Jan-2017 11:00:00	3.9675
14-Jan-2017 12:00:00	3.95
14-Jan-2017 13:00:00	3.9375
14-Jan-2017 14:00:00	3.9225
14-Jan-2017 15:00:00	3.9125
14-Jan-2017 16:00:00	3.9
14-Jan-2017 17:00:00	3.89
14-Jan-2017 18:00:00	3.88
14-Jan-2017 19:00:00	3.8625
14-Jan-2017 20:00:00	3.85
14-Jan-2017 21:00:00	3.8325
14-Jan-2017 22:00:00	3.82
14-Jan-2017 23:00:00	3.8025
15-Jan-2017 00:00:00	3.785
15-Jan-2017 01:00:00	3.78
15-Jan-2017 02:00:00	3.765
15-Jan-2017 03:00:00	3.7525
15-Jan-2017 04:00:00	3.7425
15-Jan-2017 05:00:00	3.725
15-Jan-2017 06:00:00	3.7125
15-Jan-2017 07:00:00	3.7025
15-Jan-2017 08:00:00	3.69
15-Jan-2017 09:00:00	3.68
15-Jan-2017 10:00:00	3.665
15-Jan-2017 11:00:00	3.6575
15-Jan-2017 12:00:00	3.6425
15-Jan-2017 13:00:00	3.6325
15-Jan-2017 14:00:00	3.6275
15-Jan-2017 15:00:00	3.6125
15-Jan-2017 16:00:00	3.6
15-Jan-2017 17:00:00	3.5875
15-Jan-2017 18:00:00	3.58
15-Jan-2017 19:00:00	3.5775
15-Jan-2017 20:00:00	3.5625
15-Jan-2017 21:00:00	3.5525
15-Jan-2017 22:00:00	3.5425
15-Jan-2017 23:00:00	3.5325
16-Jan-2017 00:00:00	3.5225
16-Jan-2017 01:00:00	3.5125
16-Jan-2017 02:00:00	3.5025
16-Jan-2017 03:00:00	3.49
16-Jan-2017 04:00:00	3.4725
16-Jan-2017 05:00:00	3.4675
16-Jan-2017 06:00:00	3.4575
16-Jan-2017 07:00:00	3.4475
16-Jan-2017 08:00:00	3.4375
16-Jan-2017 09:00:00	3.4275
16-Jan-2017 10:00:00	3.4175
16-Jan-2017 11:00:00	3.4075
16-Jan-2017 12:00:00	3.3975
16-Jan-2017 13:00:00	3.39
16-Jan-2017 14:00:00	3.3875
16-Jan-2017 15:00:00	3.38
16-Jan-2017 16:00:00	3.3775
16-Jan-2017 17:00:00	3.37
16-Jan-2017 18:00:00	3.3675
16-Jan-2017 19:00:00	3.365
16-Jan-2017 20:00:00	3.3525
16-Jan-2017 21:00:00	3.3475
16-Jan-2017 22:00:00	3.34
16-Jan-2017 23:00:00	3.33
17-Jan-2017 00:00:00	3.32
17-Jan-2017 01:00:00	3.3125
17-Jan-2017 02:00:00	3.31
17-Jan-2017 03:00:00	3.3075
17-Jan-2017 04:00:00	3.2925
17-Jan-2017 05:00:00	3.2875
17-Jan-2017 06:00:00	3.2775
17-Jan-2017 07:00:00	3.27
17-Jan-2017 08:00:00	3.2625
17-Jan-2017 09:00:00	3.255
17-Jan-2017 10:00:00	3.25
17-Jan-2017 11:00:00	3.2375
17-Jan-2017 12:00:00	3.235
17-Jan-2017 13:00:00	3.23
17-Jan-2017 14:00:00	3.2275
17-Jan-2017 15:00:00	3.22
17-Jan-2017 16:00:00	3.2125
17-Jan-2017 17:00:00	3.21
17-Jan-2017 18:00:00	3.215
17-Jan-2017 19:00:00	3.205
17-Jan-2017 20:00:00	3.2025
17-Jan-2017 21:00:00	3.2
17-Jan-2017 22:00:00	3.1925
17-Jan-2017 23:00:00	3.1875
18-Jan-2017 00:00:00	3.18
18-Jan-2017 01:00:00	3.1725
18-Jan-2017 02:00:00	3.1675
18-Jan-2017 03:00:00	3.165
18-Jan-2017 04:00:00	3.1575
18-Jan-2017 05:00:00	3.15
18-Jan-2017 06:00:00	3.15
18-Jan-2017 07:00:00	3.145
18-Jan-2017 08:00:00	3.1425
18-Jan-2017 09:00:00	3.14
18-Jan-2017 10:00:00	3.14
18-Jan-2017 11:00:00	3.14
18-Jan-2017 12:00:00	3.14
18-Jan-2017 13:00:00	3.155
18-Jan-2017 14:00:00	3.17
18-Jan-2017 15:00:00	3.1925
18-Jan-2017 16:00:00	3.2425
18-Jan-2017 17:00:00	3.3175
18-Jan-2017 18:00:00	3.4075
18-Jan-2017 19:00:00	3.5125
18-Jan-2017 20:00:00	3.6325
18-Jan-2017 21:00:00	3.755
18-Jan-2017 22:00:00	3.8525
18-Jan-2017 23:00:00	3.9675
19-Jan-2017 00:00:00	4.09
19-Jan-2017 01:00:00	4.2325
19-Jan-2017 02:00:00	4.3775
19-Jan-2017 03:00:00	NaN
19-Jan-2017 04:00:00	NaN
19-Jan-2017 05:00:00	NaN
19-Jan-2017 06:00:00	NaN
19-Jan-2017 07:00:00	NaN
19-Jan-2017 08:00:00	NaN
19-Jan-2017 09:00:00	4.7
