Hour	MeanValue
01-Jan-2017 00:00:00	0.01
01-Jan-2017 01:00:00	NaN
01-Jan-2017 02:00:00	NaN
01-Jan-2017 03:00:00	0.09
01-Jan-2017 04:00:00	NaN
01-Jan-2017 05:00:00	NaN
01-Jan-2017 06:00:00	NaN
01-Jan-2017 07:00:00	NaN
01-Jan-2017 08:00:00	NaN
01-Jan-2017 09:00:00	0.07
01-Jan-2017 10:00:00	0.06
01-Jan-2017 11:00:00	NaN
01-Jan-2017 12:00:00	NaN
01-Jan-2017 13:00:00	NaN
01-Jan-2017 14:00:00	NaN
01-Jan-2017 15:00:00	NaN
01-Jan-2017 16:00:00	0.05
01-Jan-2017 17:00:00	NaN
01-Jan-2017 18:00:00	NaN
01-Jan-2017 19:00:00	NaN
01-Jan-2017 20:00:00	NaN
01-Jan-2017 21:00:00	NaN
01-Jan-2017 22:00:00	NaN
01-Jan-2017 23:00:00	NaN
02-Jan-2017 00:00:00	0.06
02-Jan-2017 01:00:00	NaN
02-Jan-2017 02:00:00	NaN
02-Jan-2017 03:00:00	0.075
02-Jan-2017 04:00:00	NaN
02-Jan-2017 05:00:00	0.065
02-Jan-2017 06:00:00	NaN
02-Jan-2017 07:00:00	NaN
02-Jan-2017 08:00:00	NaN
02-Jan-2017 09:00:00	NaN
02-Jan-2017 10:00:00	NaN
02-Jan-2017 11:00:00	0.055
02-Jan-2017 12:00:00	0.0525
02-Jan-2017 13:00:00	0.05
02-Jan-2017 14:00:00	0.0525
02-Jan-2017 15:00:00	NaN
02-Jan-2017 16:00:00	NaN
02-Jan-2017 17:00:00	NaN
02-Jan-2017 18:00:00	NaN
02-Jan-2017 19:00:00	NaN
02-Jan-2017 20:00:00	0.0675
02-Jan-2017 21:00:00	0.07
02-Jan-2017 22:00:00	NaN
02-Jan-2017 23:00:00	0.07
03-Jan-2017 00:00:00	0.07
03-Jan-2017 01:00:00	0.07
03-Jan-2017 02:00:00	0.065
03-Jan-2017 03:00:00	0.06
03-Jan-2017 04:00:00	0.06
03-Jan-2017 05:00:00	NaN
03-Jan-2017 06:00:00	NaN
03-Jan-2017 07:00:00	NaN
03-Jan-2017 08:00:00	NaN
03-Jan-2017 09:00:00	NaN
03-Jan-2017 10:00:00	NaN
03-Jan-2017 11:00:00	0.05
03-Jan-2017 12:00:00	NaN
03-Jan-2017 13:00:00	NaN
03-Jan-2017 14:00:00	0.05
03-Jan-2017 15:00:00	0.0525
03-Jan-2017 16:00:00	NaN
03-Jan-2017 17:00:00	NaN
03-Jan-2017 18:00:00	0.0575
03-Jan-2017 19:00:00	NaN
03-Jan-2017 20:00:00	0.06
03-Jan-2017 21:00:00	0.06
03-Jan-2017 22:00:00	0.06
03-Jan-2017 23:00:00	0.05
04-Jan-2017 00:00:00	NaN
04-Jan-2017 01:00:00	0.05
04-Jan-2017 02:00:00	0.05
04-Jan-2017 03:00:00	0.055
04-Jan-2017 04:00:00	0.05
04-Jan-2017 05:00:00	NaN
04-Jan-2017 06:00:00	0.06
04-Jan-2017 07:00:00	0.0625
04-Jan-2017 08:00:00	0.0675
04-Jan-2017 09:00:00	0.08
