Hour	MeanValue
01-Jan-2017 00:00:00	0.69
01-Jan-2017 01:00:00	0.69
01-Jan-2017 02:00:00	0.69
01-Jan-2017 03:00:00	0.69
01-Jan-2017 04:00:00	0.6825
01-Jan-2017 05:00:00	0.68
01-Jan-2017 06:00:00	0.68
01-Jan-2017 07:00:00	0.68
01-Jan-2017 08:00:00	0.68
01-Jan-2017 09:00:00	0.68
01-Jan-2017 10:00:00	0.68
01-Jan-2017 11:00:00	0.6825
01-Jan-2017 12:00:00	0.69
01-Jan-2017 13:00:00	0.6925
01-Jan-2017 14:00:00	0.7025
01-Jan-2017 15:00:00	0.715
01-Jan-2017 16:00:00	0.72
01-Jan-2017 17:00:00	0.72
01-Jan-2017 18:00:00	0.72
01-Jan-2017 19:00:00	0.72
01-Jan-2017 20:00:00	0.72
01-Jan-2017 21:00:00	0.72
01-Jan-2017 22:00:00	0.72
01-Jan-2017 23:00:00	0.7175
02-Jan-2017 00:00:00	0.7175
02-Jan-2017 01:00:00	0.7075
02-Jan-2017 02:00:00	0.7
02-Jan-2017 03:00:00	0.7
02-Jan-2017 04:00:00	0.6975
02-Jan-2017 05:00:00	0.6975
02-Jan-2017 06:00:00	0.7
02-Jan-2017 07:00:00	0.6925
02-Jan-2017 08:00:00	0.69
02-Jan-2017 09:00:00	0.68
02-Jan-2017 10:00:00	0.68
02-Jan-2017 11:00:00	0.6825
02-Jan-2017 12:00:00	0.69
02-Jan-2017 13:00:00	0.69
02-Jan-2017 14:00:00	0.69
02-Jan-2017 15:00:00	0.6975
02-Jan-2017 16:00:00	0.7
02-Jan-2017 17:00:00	0.7
02-Jan-2017 18:00:00	0.7
02-Jan-2017 19:00:00	0.6925
02-Jan-2017 20:00:00	0.69
02-Jan-2017 21:00:00	0.685
02-Jan-2017 22:00:00	0.68
02-Jan-2017 23:00:00	0.6825
03-Jan-2017 00:00:00	0.68
03-Jan-2017 01:00:00	0.68
03-Jan-2017 02:00:00	0.68
03-Jan-2017 03:00:00	0.68
03-Jan-2017 04:00:00	0.6825
03-Jan-2017 05:00:00	0.685
03-Jan-2017 06:00:00	0.69
03-Jan-2017 07:00:00	0.69
03-Jan-2017 08:00:00	0.6925
03-Jan-2017 09:00:00	0.7
03-Jan-2017 10:00:00	0.7075
03-Jan-2017 11:00:00	0.7225
03-Jan-2017 12:00:00	0.735
03-Jan-2017 13:00:00	0.7575
03-Jan-2017 14:00:00	0.795
03-Jan-2017 15:00:00	0.875
03-Jan-2017 16:00:00	0.905
03-Jan-2017 17:00:00	0.94
03-Jan-2017 18:00:00	0.9725
03-Jan-2017 19:00:00	1.0025
03-Jan-2017 20:00:00	1.08
03-Jan-2017 21:00:00	1.235
03-Jan-2017 22:00:00	1.46
03-Jan-2017 23:00:00	1.715
