Hour	MeanValue
01-Jan-2017 00:00:00	8.425
01-Jan-2017 01:00:00	8.4225
01-Jan-2017 02:00:00	8.42
01-Jan-2017 03:00:00	8.4175
01-Jan-2017 04:00:00	8.425
01-Jan-2017 05:00:00	8.42
01-Jan-2017 06:00:00	8.42
01-Jan-2017 07:00:00	8.42
01-Jan-2017 08:00:00	8.4275
01-Jan-2017 09:00:00	8.4225
01-Jan-2017 10:00:00	8.4025
01-Jan-2017 11:00:00	8.4025
01-Jan-2017 12:00:00	8.405
01-Jan-2017 13:00:00	8.405
01-Jan-2017 14:00:00	8.4075
01-Jan-2017 15:00:00	8.4075
01-Jan-2017 16:00:00	8.4075
01-Jan-2017 17:00:00	8.4
01-Jan-2017 18:00:00	8.405
01-Jan-2017 19:00:00	8.4075
01-Jan-2017 20:00:00	8.41
01-Jan-2017 21:00:00	8.4075
01-Jan-2017 22:00:00	8.4075
01-Jan-2017 23:00:00	8.4075
02-Jan-2017 00:00:00	8.405
02-Jan-2017 01:00:00	8.41
02-Jan-2017 02:00:00	8.4075
02-Jan-2017 03:00:00	8.405
02-Jan-2017 04:00:00	8.41
02-Jan-2017 05:00:00	8.41
02-Jan-2017 06:00:00	8.405
02-Jan-2017 07:00:00	8.4025
02-Jan-2017 08:00:00	8.405
02-Jan-2017 09:00:00	8.4025
02-Jan-2017 10:00:00	8.405
02-Jan-2017 11:00:00	8.405
02-Jan-2017 12:00:00	8.405
02-Jan-2017 13:00:00	8.4025
02-Jan-2017 14:00:00	8.41
02-Jan-2017 15:00:00	8.4075
02-Jan-2017 16:00:00	8.405
02-Jan-2017 17:00:00	8.41
02-Jan-2017 18:00:00	8.4075
02-Jan-2017 19:00:00	8.41
02-Jan-2017 20:00:00	8.415
02-Jan-2017 21:00:00	8.4125
02-Jan-2017 22:00:00	8.4075
02-Jan-2017 23:00:00	8.405
03-Jan-2017 00:00:00	8.415
03-Jan-2017 01:00:00	8.415
03-Jan-2017 02:00:00	8.4075
03-Jan-2017 03:00:00	8.4075
03-Jan-2017 04:00:00	8.41
03-Jan-2017 05:00:00	8.4175
03-Jan-2017 06:00:00	8.41
03-Jan-2017 07:00:00	8.41
03-Jan-2017 08:00:00	8.415
03-Jan-2017 09:00:00	8.4175
